check_id,category,severity,status,detail,path,age_hours
file_exists::index.html,file,BLOCKER,PASS,index.html exists,C:\Trading\Publish\PrimeViewFX_Static_Site\index.html,0.0
file_exists::members-dashboard.html,file,BLOCKER,PASS,members-dashboard.html exists,C:\Trading\Publish\PrimeViewFX_Static_Site\members-dashboard.html,0.0
file_exists::risk-methodology-limitations.html,file,BLOCKER,PASS,risk-methodology-limitations.html exists,C:\Trading\Publish\PrimeViewFX_Static_Site\risk-methodology-limitations.html,226.681
file_exists::founder-beta.html,file,INFO,PASS,founder-beta.html exists,C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta.html,226.681
file_exists::founder-beta-clean.html,file,INFO,WARN,founder-beta-clean.html missing,C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta-clean.html,
file_exists::founder-beta-pricing.html,file,INFO,WARN,founder-beta-pricing.html missing,C:\Trading\Publish\PrimeViewFX_Static_Site\founder-beta-pricing.html,
file_exists::green-red-box-alignment.html,file,INFO,PASS,green-red-box-alignment.html exists,C:\Trading\Publish\PrimeViewFX_Static_Site\green-red-box-alignment.html,663.029
file_exists::bullish-cascade.html,file,INFO,WARN,bullish-cascade.html missing,C:\Trading\Publish\PrimeViewFX_Static_Site\bullish-cascade.html,
file_exists::bearish-cascade.html,file,INFO,WARN,bearish-cascade.html missing,C:\Trading\Publish\PrimeViewFX_Static_Site\bearish-cascade.html,
file_exists::data/primeviewfx_website_trigger_gate_public_v2_4_3.json,file,BLOCKER,PASS,data/primeviewfx_website_trigger_gate_public_v2_4_3.json exists,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_public_v2_4_3.json,611.18
file_exists::data/primeviewfx_website_trigger_gate_live_v2_4_3.csv,file,BLOCKER,PASS,data/primeviewfx_website_trigger_gate_live_v2_4_3.csv exists,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_live_v2_4_3.csv,611.18
file_exists::data/primeviewfx_website_trigger_gate_summary_v2_4_3.csv,file,BLOCKER,PASS,data/primeviewfx_website_trigger_gate_summary_v2_4_3.csv exists,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_summary_v2_4_3.csv,611.18
file_exists::data/primeviewfx_weekly_play_ema5_channel_latest_state_v2_4.csv,file,BLOCKER,PASS,data/primeviewfx_weekly_play_ema5_channel_latest_state_v2_4.csv exists,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_weekly_play_ema5_channel_latest_state_v2_4.csv,615.061
json_valid::primeviewfx_website_trigger_gate_public_v2_4_3.json,data,BLOCKER,PASS,JSON valid; items=15,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_public_v2_4_3.json,611.18
csv_nonempty::primeviewfx_website_trigger_gate_live_v2_4_3.csv,data,BLOCKER,PASS,CSV readable; rows=15,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_live_v2_4_3.csv,611.18
csv_nonempty::primeviewfx_website_trigger_gate_summary_v2_4_3.csv,data,BLOCKER,PASS,CSV readable; rows=5,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_website_trigger_gate_summary_v2_4_3.csv,611.18
