best_anchor_family,best_anchor_name,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
prior_hlc,previous_pivot_hlc3,27,27,0.893333,1.35358,59.259259,70.37037,92.592593,100.0,100.0,92.133334
green_box_quarter,green_box_1_25pct,35,35,1.34375,1.559964,31.428571,71.428571,88.571429,100.0,100.0,89.997768
prior_range_fraction,prev_range_0.333333,24,24,0.943415,1.700441,54.166667,83.333333,91.666667,91.666667,95.833333,89.208129
prior_hlc,previous_mid,29,29,1.125,1.474483,44.827586,65.517241,86.206897,96.551724,100.0,88.018534
prior_range_fraction,prev_range_0.875,40,39,1.340625,1.917188,42.5,70.0,85.0,95.0,97.5,87.548438
green_box_edge,green_edge_1,20,20,0.335,1.35925,70.0,80.0,85.0,90.0,100.0,86.9125
red_box_edge,red_edge_1,28,28,1.2125,1.876071,42.857143,64.285714,85.714286,92.857143,100.0,86.554464
red_box_midline,red_mid_1,27,27,1.4325,2.092778,33.333333,70.37037,85.185185,96.296296,96.296296,86.526157
green_box_quarter,green_box_2_25pct,31,31,0.73375,1.539798,58.064516,70.967742,80.645161,93.548387,100.0,85.943044
red_box_quarter,red_box_2_25pct,35,35,0.98375,1.85325,51.428571,68.571429,80.0,94.285714,97.142857,85.612054
prior_range_fraction,prev_range_0.382,35,35,1.43848,1.759545,37.142857,62.857143,80.0,97.142857,100.0,85.189514
prior_hlc,previous_close,24,24,1.53,2.17625,41.666667,54.166667,79.166667,95.833333,95.833333,83.158333
prior_range_fraction,prev_range_0.666667,26,26,1.180014,1.773867,42.307692,69.230769,76.923077,88.461538,100.0,81.380733
prior_range_fraction,prev_range_0.75,39,39,1.6825,2.683269,20.512821,56.410256,76.923077,87.179487,94.871795,81.104006
green_box_quarter,green_box_1_75pct,39,39,1.4375,1.900288,41.025641,56.410256,69.230769,97.435897,100.0,80.819071
red_box_quarter,red_box_1_25pct,27,27,1.2775,2.427917,29.62963,70.37037,77.777778,85.185185,96.296296,80.802546
green_box_midline,green_mid_1,22,22,1.1975,1.732273,45.454545,63.636364,72.727273,95.454545,100.0,80.797159
prior_range_fraction,prev_range_0.125,37,37,1.06625,2.91973,48.648649,62.162162,72.972973,86.486486,89.189189,80.493834
prior_range_fraction,prev_range_0.618,24,24,1.79946,2.011277,37.5,50.0,70.833333,95.833333,100.0,78.734683
red_box_quarter,red_box_1_75pct,29,29,1.44125,2.006595,34.482759,58.62069,65.517241,96.551724,100.0,77.917565
prior_range_fraction,prev_range_0.25,28,28,1.275,2.56875,35.714286,60.714286,71.428571,82.142857,96.428571,77.291071
green_box_midline,green_mid_2,65,65,2.305,2.765692,21.538462,46.153846,67.692308,81.538462,98.461538,75.083654
prior_hlc,previous_high,47,47,2.59,2.713191,17.021277,36.170213,57.446809,91.489362,100.0,71.948404
red_box_midline,red_mid_4,13,13,2.3425,3.174231,15.384615,30.769231,69.230769,76.923077,92.307692,70.828365
red_box_midline,red_mid_2,64,63,2.585,3.832891,20.3125,39.0625,60.9375,76.5625,90.625,70.1
red_box_quarter,red_box_3_75pct,51,50,3.02125,4.108946,9.803922,31.372549,49.019608,76.470588,98.039216,63.623346
prior_hlc,previous_low,44,44,2.725,3.923636,15.909091,43.181818,54.545455,65.909091,90.909091,63.610227
red_box_quarter,red_box_4_25pct,28,28,3.249375,3.471652,14.285714,35.714286,46.428571,78.571429,96.428571,60.212277
green_box_quarter,green_box_4_75pct,16,16,3.19375,3.704531,12.5,12.5,50.0,75.0,100.0,59.865625
green_box_quarter,green_box_2_75pct,89,88,3.2675,3.865154,13.483146,34.831461,46.067416,68.539326,96.629213,59.696419
green_box_quarter,green_box_4_25pct,32,32,3.57125,3.679219,15.625,25.0,40.625,68.75,100.0,54.740625
green_box_midline,green_mid_4,21,21,3.29,3.747262,19.047619,28.571429,38.095238,71.428571,95.238095,53.875
red_box_quarter,red_box_3_25pct,85,83,3.84,4.533632,17.647059,36.470588,42.352941,57.647059,92.941176,53.870588
red_box_edge,red_edge_2,94,92,4.06,4.748298,15.957447,29.787234,42.553191,56.382979,92.553191,53.094681
red_box_quarter,red_box_4_75pct,21,21,3.615,3.964107,9.52381,19.047619,33.333333,71.428571,100.0,50.919643
green_box_quarter,green_box_3_75pct,54,54,4.18625,4.492986,16.666667,25.925926,35.185185,61.111111,98.148148,50.645486
green_box_midline,green_mid_3,55,55,4.3025,4.787182,12.727273,23.636364,36.363636,58.181818,92.727273,50.152841
green_box_quarter,green_box_3_25pct,80,79,4.3625,4.746172,15.0,23.75,36.25,58.75,93.75,50.09375
green_box_edge,green_edge_3,45,45,4.21,4.098667,15.555556,31.111111,33.333333,64.444444,95.555556,50.086111
red_box_quarter,red_box_2_75pct,70,70,4.530625,4.530893,17.142857,27.142857,34.285714,60.0,95.714286,49.102009
red_box_midline,red_mid_3,52,51,4.5025,5.716346,9.615385,26.923077,32.692308,55.769231,88.461538,47.397596
green_box_edge,green_edge_2,99,97,4.6,5.243232,10.10101,19.191919,30.30303,57.575758,88.888889,46.530303
red_box_edge,red_edge_3,39,39,4.75,4.489872,10.25641,20.512821,30.769231,58.974359,97.435897,45.614744
green_box_edge,green_edge_4,24,18,17.22,25.09,0.0,4.166667,8.333333,20.833333,33.333333,10.758333
red_box_edge,red_edge_4,22,18,24.595,178.875909,4.545455,9.090909,9.090909,18.181818,27.272727,10.436364
