level_date,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
2025-10-08,7,1,1.175,491.378214,28.571429,71.428571,71.428571,85.714286,85.714286,75.733929
2026-02-02,16,1,18.71654,15.939594,0.0,12.5,12.5,25.0,37.5,11.975
2026-05-08,10,1,5.076875,13.802912,20.0,20.0,20.0,50.0,80.0,33.907812
2026-02-09,9,1,8.19,8.331079,0.0,11.111111,11.111111,44.444444,66.666667,20.736111
2026-04-03,9,1,8.665,7.70187,22.222222,22.222222,22.222222,22.222222,55.555556,18.993056
2026-04-06,9,1,8.665,7.70187,22.222222,22.222222,22.222222,22.222222,55.555556,18.993056
2026-02-05,11,1,8.0375,7.012502,9.090909,18.181818,27.272727,27.272727,81.818182,24.097159
2026-06-12,12,1,6.738125,6.206238,8.333333,8.333333,16.666667,33.333333,100.0,24.088021
2025-12-30,9,1,5.585,5.247417,11.111111,11.111111,22.222222,44.444444,100.0,32.248611
2026-04-01,10,1,4.2125,5.004174,20.0,20.0,20.0,60.0,80.0,38.56875
