level_date,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
2025-10-01,10,1,1.7425,2.26,40.0,50.0,70.0,90.0,100.0,74.74375
2025-10-02,10,1,1.796875,1.689418,30.0,60.0,100.0,100.0,100.0,90.607812
2025-10-03,10,1,2.280625,2.97,10.0,30.0,70.0,70.0,100.0,68.398438
2025-10-06,7,1,0.556667,0.860952,71.428571,85.714286,100.0,100.0,100.0,93.708332
2025-10-07,8,1,4.51,6.781719,25.0,25.0,37.5,50.0,87.5,43.2
2025-10-08,7,1,1.175,491.378214,28.571429,71.428571,71.428571,85.714286,85.714286,75.733929
2025-10-09,8,1,1.2225,1.130625,37.5,100.0,100.0,100.0,100.0,92.04375
2025-10-10,10,1,1.194375,2.332875,50.0,60.0,70.0,90.0,100.0,76.114062
2025-10-13,10,1,1.478125,2.127706,30.0,70.0,70.0,80.0,100.0,72.904688
2025-10-14,8,1,2.35625,3.194845,12.5,50.0,50.0,75.0,100.0,60.459375
2025-10-15,10,1,0.39125,0.70875,70.0,90.0,100.0,100.0,100.0,94.121875
2025-10-16,10,1,3.1,3.1415,20.0,30.0,50.0,90.0,100.0,62.35
2025-10-17,11,1,3.4475,3.209886,27.272727,27.272727,45.454545,81.818182,100.0,57.390341
2025-10-20,10,1,4.454824,4.656125,10.0,20.0,30.0,60.0,100.0,42.46294
2025-10-21,13,1,4.09,5.211543,0.0,15.384615,46.153846,53.846154,84.615385,49.105769
2025-10-22,12,1,6.005049,7.905954,8.333333,8.333333,41.666667,41.666667,58.333333,39.254044
2025-10-23,10,1,3.08008,4.548766,20.0,30.0,50.0,60.0,100.0,54.8998
2025-10-24,10,1,4.369375,3.638416,20.0,30.0,30.0,70.0,100.0,45.176562
2025-10-27,10,1,3.8725,4.0165,10.0,30.0,50.0,50.0,100.0,50.41875
2025-10-28,13,1,2.86848,4.034883,15.384615,38.461538,53.846154,61.538462,100.0,57.544185
2025-10-29,10,1,2.40375,2.4515,40.0,50.0,60.0,90.0,100.0,68.590625
2025-10-30,13,1,4.39875,3.825932,15.384615,23.076923,30.769231,53.846154,100.0,41.410817
2025-10-31,10,1,2.50693,3.492719,20.0,50.0,50.0,60.0,100.0,56.332675
2025-11-03,11,1,2.77375,2.954091,27.272727,36.363636,54.545455,81.818182,100.0,63.165625
2025-11-04,10,1,1.7125,2.22875,20.0,60.0,60.0,100.0,100.0,72.81875
2025-11-05,8,1,3.0075,3.024352,0.0,12.5,50.0,100.0,100.0,65.08125
2025-11-06,10,1,1.925,2.556081,0.0,50.0,80.0,80.0,100.0,76.2875
2025-11-07,8,1,2.226875,2.470469,25.0,37.5,62.5,87.5,100.0,69.532812
2025-11-10,9,1,2.8575,2.610233,22.222222,44.444444,55.555556,100.0,100.0,67.95625
2025-11-11,10,1,2.88125,3.205462,30.0,50.0,50.0,80.0,100.0,60.396875
2025-11-12,8,1,1.25125,1.578034,50.0,62.5,87.5,100.0,100.0,86.346875
2025-11-13,10,1,4.30506,4.243512,20.0,30.0,40.0,60.0,100.0,47.33735
2025-11-14,11,1,4.21,3.6548,18.181818,27.272727,27.272727,63.636364,100.0,42.756818
2025-11-17,9,1,3.82036,4.469484,33.333333,33.333333,44.444444,66.666667,88.888889,52.215767
2025-11-18,10,1,4.148125,3.839575,20.0,30.0,30.0,60.0,100.0,43.229688
2025-11-19,9,1,1.96,2.695556,33.333333,55.555556,66.666667,66.666667,100.0,66.866667
2025-11-20,8,1,1.67375,2.321875,25.0,62.5,62.5,87.5,100.0,70.915625
2025-11-21,9,1,0.98,2.069167,55.555556,55.555556,66.666667,77.777778,100.0,72.094444
2025-11-24,9,1,3.13875,3.466111,11.111111,44.444444,44.444444,66.666667,100.0,53.919792
2025-11-25,10,1,3.10625,2.903755,30.0,30.0,50.0,90.0,100.0,62.334375
2025-11-26,10,1,2.9425,4.6045,10.0,30.0,50.0,90.0,90.0,62.74375
2025-11-27,9,1,1.273319,3.643424,33.333333,55.555556,66.666667,88.888889,88.888889,74.138925
2025-11-28,9,1,1.9175,7.760278,44.444444,55.555556,66.666667,77.777778,77.777778,69.750694
2025-12-01,9,1,0.9975,2.021667,55.555556,55.555556,66.666667,88.888889,100.0,74.828472
2025-12-02,7,1,1.54,2.444286,28.571429,57.142857,71.428571,85.714286,100.0,74.821429
2025-12-03,9,1,1.665,2.152051,11.111111,66.666667,77.777778,88.888889,100.0,78.159722
2025-12-04,8,1,2.486659,2.43229,25.0,50.0,50.0,100.0,100.0,66.383352
2025-12-05,8,1,1.3925,1.803488,50.0,62.5,75.0,100.0,100.0,80.36875
2025-12-08,8,1,2.519375,2.868906,37.5,37.5,62.5,62.5,100.0,62.551562
2025-12-09,8,1,3.30875,2.603438,37.5,37.5,37.5,100.0,100.0,58.703125
2025-12-10,8,1,2.9725,2.988438,12.5,25.0,50.0,100.0,100.0,65.16875
2025-12-11,8,1,1.2525,1.669688,50.0,62.5,75.0,100.0,100.0,80.71875
2025-12-12,9,1,0.57375,1.369444,66.666667,77.777778,77.777778,88.888889,100.0,80.887847
2025-12-15,8,1,1.169375,1.925,50.0,62.5,75.0,100.0,100.0,80.926562
2025-12-16,8,1,1.025625,1.375625,37.5,62.5,100.0,100.0,100.0,92.535937
2025-12-17,8,1,1.52077,2.129617,25.0,75.0,75.0,87.5,100.0,76.923075
2025-12-19,8,1,1.2375,1.846719,25.0,62.5,75.0,100.0,100.0,80.75625
2025-12-22,8,1,2.0675,2.17875,25.0,50.0,75.0,100.0,100.0,78.68125
2025-12-23,10,1,2.51962,2.523428,20.0,40.0,60.0,90.0,100.0,68.30095
2025-12-24,6,1,0.405625,0.460625,83.333333,100.0,100.0,100.0,100.0,94.085938
2025-12-26,8,1,2.175625,2.233906,12.5,50.0,75.0,100.0,100.0,78.410937
2025-12-29,11,1,2.8475,2.675114,27.272727,45.454545,54.545455,81.818182,100.0,62.98125
2025-12-30,9,1,5.585,5.247417,11.111111,11.111111,22.222222,44.444444,100.0,32.248611
2026-01-01,9,1,0.975,2.246111,55.555556,66.666667,66.666667,77.777778,100.0,72.106944
2026-01-02,10,1,2.27125,2.869772,20.0,30.0,60.0,80.0,100.0,66.421875
2026-01-05,10,1,3.023125,3.523625,10.0,10.0,50.0,80.0,100.0,60.042188
2026-01-06,9,1,2.935,3.853152,22.222222,33.333333,55.555556,66.666667,100.0,59.429167
2026-01-07,10,1,1.65563,2.448457,30.0,60.0,60.0,90.0,100.0,70.460925
2026-01-08,10,1,1.376875,2.50175,30.0,60.0,60.0,80.0,100.0,68.657812
2026-01-09,9,1,1.56,2.076667,22.222222,55.555556,77.777778,100.0,100.0,81.2
2026-01-12,10,1,1.66125,2.492856,30.0,50.0,70.0,70.0,100.0,69.946875
2026-01-13,7,1,1.585,2.924643,14.285714,57.142857,57.142857,71.428571,100.0,64.708929
2026-01-14,9,1,2.7175,2.760787,22.222222,33.333333,55.555556,77.777778,100.0,62.750694
2026-01-15,8,1,1.2725,1.925625,37.5,62.5,75.0,87.5,100.0,77.54375
2026-01-16,7,1,1.0625,1.576071,42.857143,57.142857,85.714286,100.0,100.0,86.015179
2026-01-19,7,1,1.15436,2.57348,42.857143,57.142857,57.142857,85.714286,100.0,69.356957
2026-01-20,9,1,1.4925,1.511111,22.222222,77.777778,88.888889,100.0,100.0,86.36875
2026-01-21,12,1,2.305625,3.194271,33.333333,41.666667,58.333333,75.0,100.0,64.335938
2026-01-22,9,1,1.6825,1.972893,44.444444,55.555556,77.777778,100.0,100.0,80.89375
2026-01-23,8,1,1.23,1.969375,50.0,62.5,75.0,87.5,100.0,77.65
2026-01-26,12,1,3.021275,3.297712,8.333333,25.0,50.0,83.333333,100.0,60.880146
2026-01-27,10,1,1.65875,2.045973,20.0,50.0,80.0,90.0,100.0,79.453125
2026-01-28,10,1,2.83125,3.023354,30.0,40.0,50.0,80.0,100.0,60.521875
2026-01-29,7,1,3.31,5.329655,14.285714,42.857143,42.857143,57.142857,71.428571,50.396429
2026-01-30,10,1,5.85625,9.01225,10.0,20.0,30.0,30.0,70.0,31.459375
2026-02-02,16,1,18.71654,15.939594,0.0,12.5,12.5,25.0,37.5,11.975
2026-02-03,14,1,7.6575,7.895012,21.428571,28.571429,35.714286,42.857143,57.142857,32.741964
2026-02-04,9,1,4.305,6.860833,22.222222,22.222222,44.444444,55.555556,77.777778,48.226389
2026-02-05,11,1,8.0375,7.012502,9.090909,18.181818,27.272727,27.272727,81.818182,24.097159
2026-02-06,11,1,4.41,5.472424,27.272727,27.272727,36.363636,54.545455,81.818182,44.075
2026-02-09,9,1,8.19,8.331079,0.0,11.111111,11.111111,44.444444,66.666667,20.736111
2026-02-10,10,1,2.88,5.84525,10.0,30.0,50.0,70.0,90.0,57.9
2026-02-11,9,1,2.64,5.916111,22.222222,33.333333,55.555556,66.666667,88.888889,60.166667
2026-02-12,11,1,2.905,7.251364,9.090909,36.363636,54.545455,54.545455,90.909091,56.019318
2026-02-13,8,1,3.635,4.19619,25.0,25.0,50.0,62.5,100.0,54.1375
2026-02-16,8,1,4.52,5.413125,12.5,12.5,37.5,62.5,87.5,46.3
2026-02-17,10,1,2.141875,5.355481,50.0,50.0,50.0,60.0,90.0,57.245313
2026-02-18,9,1,0.553386,2.784821,55.555556,66.666667,66.666667,77.777778,88.888889,73.160979
