candidate_type,candidate_label,rows,date_count,median_abs_distance,pct_within_3,pct_within_5,formula_candidate_score
anchor_name,prior_hlc::previous_pivot_hlc3,27,27,0.893333,92.592593,100.0,92.133334
anchor_name,green_box_quarter::green_box_1_25pct,35,35,1.34375,88.571429,100.0,89.997768
anchor_name,prior_range_fraction::prev_range_0.333333,24,24,0.943415,91.666667,91.666667,89.208129
anchor_name,prior_hlc::previous_mid,29,29,1.125,86.206897,96.551724,88.018534
anchor_name,prior_range_fraction::prev_range_0.875,40,39,1.340625,85.0,95.0,87.548438
anchor_name,green_box_edge::green_edge_1,20,20,0.335,85.0,90.0,86.9125
anchor_name,red_box_edge::red_edge_1,28,28,1.2125,85.714286,92.857143,86.554464
anchor_name,red_box_midline::red_mid_1,27,27,1.4325,85.185185,96.296296,86.526157
anchor_name,green_box_quarter::green_box_2_25pct,31,31,0.73375,80.645161,93.548387,85.943044
anchor_name,red_box_quarter::red_box_2_25pct,35,35,0.98375,80.0,94.285714,85.612054
anchor_name,prior_range_fraction::prev_range_0.382,35,35,1.43848,80.0,97.142857,85.189514
anchor_family,prior_range_fraction,253,150,1.37884,78.26087,90.513834,84.39875
anchor_name,prior_hlc::previous_close,24,24,1.53,79.166667,95.833333,83.158333
anchor_name,prior_range_fraction::prev_range_0.666667,26,26,1.180014,76.923077,88.461538,81.380733
anchor_name,prior_range_fraction::prev_range_0.75,39,39,1.6825,76.923077,87.179487,81.104006
anchor_name,green_box_quarter::green_box_1_75pct,39,39,1.4375,69.230769,97.435897,80.819071
anchor_name,red_box_quarter::red_box_1_25pct,27,27,1.2775,77.777778,85.185185,80.802546
anchor_name,green_box_midline::green_mid_1,22,22,1.1975,72.727273,95.454545,80.797159
anchor_name,prior_range_fraction::prev_range_0.125,37,37,1.06625,72.972973,86.486486,80.493834
anchor_name,prior_range_fraction::prev_range_0.618,24,24,1.79946,70.833333,95.833333,78.734683
anchor_family,prior_hlc,171,122,1.97,70.175439,87.719298,78.583772
anchor_name,red_box_quarter::red_box_1_75pct,29,29,1.44125,65.517241,96.551724,77.917565
anchor_name,prior_range_fraction::prev_range_0.25,28,28,1.275,71.428571,82.142857,77.291071
anchor_name,green_box_midline::green_mid_2,65,65,2.305,67.692308,81.538462,75.083654
anchor_name,prior_hlc::previous_high,47,47,2.59,57.446809,91.489362,71.948404
anchor_name,red_box_midline::red_mid_4,13,13,2.3425,69.230769,76.923077,70.828365
anchor_name,red_box_midline::red_mid_2,64,63,2.585,60.9375,76.5625,70.1
anchor_family,red_box_midline,156,122,2.6475,56.410256,73.076923,67.035096
anchor_family,green_box_midline,163,127,2.75,53.98773,74.233129,65.977761
anchor_family,green_box_quarter,376,169,2.8775,51.329787,73.670213,64.322207
anchor_name,red_box_quarter::red_box_3_75pct,51,50,3.02125,49.019608,76.470588,63.623346
anchor_name,prior_hlc::previous_low,44,44,2.725,54.545455,65.909091,63.610227
anchor_family,red_box_quarter,346,167,2.99875,50.0,72.543353,63.138963
anchor_name,red_box_quarter::red_box_4_25pct,28,28,3.249375,46.428571,78.571429,60.212277
anchor_name,green_box_quarter::green_box_4_75pct,16,16,3.19375,50.0,75.0,59.865625
anchor_name,green_box_quarter::green_box_2_75pct,89,88,3.2675,46.067416,68.539326,59.696419
anchor_name,green_box_quarter::green_box_4_25pct,32,32,3.57125,40.625,68.75,54.740625
anchor_name,green_box_midline::green_mid_4,21,21,3.29,38.095238,71.428571,53.875
anchor_name,red_box_quarter::red_box_3_25pct,85,83,3.84,42.352941,57.647059,53.870588
anchor_family,red_box_edge,183,136,4.08,42.622951,57.923497,53.461202
anchor_name,red_box_edge::red_edge_2,94,92,4.06,42.553191,56.382979,53.094681
anchor_name,red_box_quarter::red_box_4_75pct,21,21,3.615,33.333333,71.428571,50.919643
anchor_name,green_box_quarter::green_box_3_75pct,54,54,4.18625,35.185185,61.111111,50.645486
anchor_name,green_box_midline::green_mid_3,55,55,4.3025,36.363636,58.181818,50.152841
anchor_name,green_box_quarter::green_box_3_25pct,80,79,4.3625,36.25,58.75,50.09375
anchor_name,green_box_edge::green_edge_3,45,45,4.21,33.333333,64.444444,50.086111
anchor_name,red_box_quarter::red_box_2_75pct,70,70,4.530625,34.285714,60.0,49.102009
anchor_family,green_box_edge,188,141,4.3675,34.042553,57.978723,48.89508
anchor_name,red_box_midline::red_mid_3,52,51,4.5025,32.692308,55.769231,47.397596
anchor_name,green_box_edge::green_edge_2,99,97,4.6,30.30303,57.575758,46.530303
anchor_name,red_box_edge::red_edge_3,39,39,4.75,30.769231,58.974359,45.614744
anchor_name,green_box_edge::green_edge_4,24,18,17.22,8.333333,20.833333,10.758333
anchor_name,red_box_edge::red_edge_4,22,18,24.595,9.090909,18.181818,10.436364
