ranking_dimension,level_name,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score,published_rank_low_to_high,published_rank_high_to_low,best_anchor_side,best_box_index,best_anchor_family,best_fraction
level_name_ranking,L5,191,191,1.340042,1.944592,39.267016,62.827225,80.628272,93.193717,98.95288,86.231047,,,,,,
level_name_ranking,L6,191,191,1.53,2.367882,36.125654,58.115183,72.251309,88.481675,98.429319,80.808508,,,,,,
level_name_ranking,L4,191,191,2.01,2.751831,30.366492,49.73822,65.445026,81.675393,97.905759,74.84411,,,,,,
level_name_ranking,L7,190,190,1.9925,2.98602,27.368421,50.526316,63.157895,82.105263,96.315789,73.966118,,,,,,
level_name_ranking,L8,182,182,2.90125,3.606466,23.076923,37.912088,52.747253,72.527473,95.054945,64.615007,,,,,,
level_name_ranking,L3,191,191,3.12,3.77512,21.989529,39.267016,49.73822,71.727749,94.240838,62.514136,,,,,,
level_name_ranking,L2,191,191,3.37375,22.301677,13.612565,28.795812,41.884817,69.109948,94.764398,57.691279,,,,,,
level_name_ranking,L9,151,151,3.785,5.247045,16.556291,30.463576,41.721854,60.927152,90.066225,54.544123,,,,,,
level_name_ranking,L10,102,102,4.065,5.67286,12.745098,32.352941,39.215686,62.745098,91.176471,53.170833,,,,,,
level_name_ranking,L1,201,192,4.2325,6.539462,15.422886,24.875622,36.81592,57.711443,88.059701,50.413775,,,,,,
level_name_ranking,L11,32,32,4.985,8.295708,15.625,31.25,43.75,50.0,78.125,47.925,,,,,,
level_name_ranking,L12,14,14,4.045,6.98375,7.142857,14.285714,14.285714,57.142857,78.571429,37.001786,,,,,,
level_name_ranking,L13,5,5,8.705,10.2355,0.0,20.0,20.0,20.0,60.0,17.7375,,,,,,
rank_low_to_high_ranking,,192,192,1.19125,2.066737,43.75,70.833333,82.8125,89.583333,96.875,86.683333,5,,,,,
rank_low_to_high_ranking,,192,192,1.95,2.538882,32.291667,51.041667,68.75,88.020833,97.916667,78.067708,6,,,,,
rank_low_to_high_ranking,,192,192,1.62125,2.573414,33.333333,55.729167,67.708333,84.375,98.958333,77.509375,4,,,,,
rank_low_to_high_ranking,,192,192,2.02875,3.08095,30.208333,49.479167,62.5,78.645833,96.354167,72.714583,3,,,,,
rank_low_to_high_ranking,,191,191,2.7525,3.427998,20.942408,38.743455,53.926702,78.010471,96.335079,66.888384,7,,,,,
rank_low_to_high_ranking,,183,183,3.31,3.79337,18.579235,32.786885,46.448087,72.131148,95.081967,60.659426,8,,,,,
rank_low_to_high_ranking,,192,192,3.568125,4.298233,15.104167,30.729167,44.791667,66.666667,94.791667,57.902604,2,,,,,
rank_low_to_high_ranking,,152,152,3.6025,4.688585,17.105263,30.921053,42.105263,64.473684,93.421053,56.059539,9,,,,,
rank_low_to_high_ranking,,192,192,3.985,24.125849,14.583333,30.208333,39.0625,60.9375,85.416667,52.85,1,,,,,
rank_low_to_high_ranking,,103,103,4.295,6.644363,10.679612,22.330097,33.980583,54.368932,87.378641,48.145995,10,,,,,
rank_low_to_high_ranking,,14,14,4.454375,7.36625,7.142857,21.428571,35.714286,57.142857,85.714286,45.621205,12,,,,,
rank_low_to_high_ranking,,32,32,5.7525,11.418828,6.25,9.375,25.0,43.75,78.125,36.00625,11,,,,,
rank_low_to_high_ranking,,5,5,7.175,12.015366,0.0,0.0,0.0,0.0,60.0,7.5625,13,,,,,
rank_high_to_low_ranking,,192,192,1.343771,1.945903,39.0625,62.5,80.729167,93.229167,98.958333,86.275989,,5,,,,
rank_high_to_low_ranking,,192,192,1.498125,2.354019,36.979167,58.333333,72.395833,88.541667,98.4375,80.968229,,6,,,,
rank_high_to_low_ranking,,192,192,2.026875,2.760787,29.6875,49.479167,65.104167,81.770833,97.916667,74.672396,,4,,,,
rank_high_to_low_ranking,,191,191,1.99,20.782232,27.748691,50.78534,63.350785,82.198953,96.335079,74.082592,,7,,,,
rank_high_to_low_ranking,,183,183,2.91,3.744641,22.404372,37.704918,52.459016,72.131148,94.535519,64.364344,,8,,,,
rank_high_to_low_ranking,,192,192,3.055,3.75303,22.916667,39.583333,50.0,71.875,94.270833,62.83125,,3,,,,
