level_date,prev_date,published_level,source_column,level_name,published_rank_low_to_high,published_rank_high_to_low,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2025-10-01,2025-09-30,3740.83,level_price,L10,1,10,3736.045,4.785,4.785,False,False,False,False,True,True,red_box_midline,red_mid_3,red,3.0,0.5,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3762.36,level_price,L9,2,9,3763.18,-0.82,0.82,True,True,True,True,True,True,red_box_edge,red_edge_2,red,2.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3784.19,level_price,L8,3,8,3790.315,-6.125,6.125,False,False,False,False,False,True,red_box_midline,red_mid_2,red,2.0,0.5,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3803.98,level_price,L7,4,7,3803.8825,0.0975,0.0975,True,True,True,True,True,True,red_box_quarter,red_box_2_25pct,red,2.0,0.25,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3820.29,level_price,L6,5,6,3820.315,-0.025,0.025,True,True,True,True,True,True,green_box_midline,green_mid_1,green,1.0,0.5,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3838.65,level_price,L5,6,5,3841.06,-2.41,2.41,True,False,False,True,True,True,prior_hlc,previous_pivot_hlc3,neutral,,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3853.16,level_price,L4,7,4,3852.085,1.075,1.075,True,False,True,True,True,True,prior_range_fraction,prev_range_0.75,neutral,,0.75,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3869.29,level_price,L3,8,3,3871.72,-2.43,2.43,True,False,False,True,True,True,prior_hlc,previous_high,neutral,,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3883.9,level_price,L2,9,2,3888.1525,-4.2525,4.2525,False,False,False,False,True,True,green_box_quarter,green_box_2_75pct,green,2.0,0.75,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3901.14,level_price,L1,10,1,3901.72,-0.58,0.58,True,True,True,True,True,True,green_box_edge,green_edge_2,green,2.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
