level_date,prev_date,published_level,source_column,level_name,published_rank_low_to_high,published_rank_high_to_low,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding,level_number,anchor_key,outlier_threshold
2025-10-08,2025-10-07,400.59,level_price,L2,1,7,3830.54,-3429.95,3429.95,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3991.06,3940.8,3984.32,50.25999999999976,40.12999999999988,30.0,2,red_box_edge::red_edge_4,17.29875
2026-04-23,2026-04-22,4992.32,level_price,L1,11,1,4889.06,103.26,103.26,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4772.34,4715.62,4740.18,56.720000000000255,43.36000000000013,30.0,1,green_box_edge::green_edge_4,17.29875
2026-05-08,2026-05-07,4470.86,level_price,L10,1,10,4545.63,-74.77,74.77,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4764.81,4685.22,4687.08,79.59000000000015,54.79500000000007,30.0,10,red_box_edge::red_edge_4,17.29875
2026-04-23,2026-04-22,4956.83,level_price,L2,10,2,4889.06,67.77,67.77,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4772.34,4715.62,4740.18,56.720000000000255,43.36000000000013,30.0,2,green_box_edge::green_edge_4,17.29875
2026-03-02,2026-02-27,5510.63,level_price,L1,11,1,5454.8,55.83,55.83,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,5280.88,5166.96,5280.0,113.92000000000007,71.96000000000004,30.0,1,green_box_edge::green_edge_4,17.29875
2026-05-06,2026-05-05,4775.19,level_price,L1,9,1,4719.7,55.49,55.49,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4586.68,4513.66,4557.19,73.02000000000044,51.51000000000022,30.0,1,green_box_edge::green_edge_4,17.29875
2026-05-25,2026-05-22,4319.19,level_price,L11,1,11,4372.23,-53.04,53.04,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4546.75,4489.49,4507.9,57.26000000000022,43.63000000000011,30.0,11,red_box_edge::red_edge_4,17.29875
2026-02-12,2026-02-11,4812.17,level_price,L11,1,11,4858.82,-46.65,46.65,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,5119.06,5018.94,5084.24,100.1200000000008,65.0600000000004,30.0,11,red_box_edge::red_edge_4,17.29875
2025-11-28,2025-11-27,4010.83,level_price,L9,1,9,4056.64,-45.81,45.81,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4168.76,4142.7,4157.37,26.0600000000004,28.0300000000002,30.0,9,red_box_edge::red_edge_4,17.29875
2026-06-15,2026-06-12,4428.24,level_price,L1,12,1,4382.94,45.3,45.3,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4246.63,4170.32,4218.5,76.3100000000004,53.1550000000002,30.0,1,green_box_edge::green_edge_4,17.29875
2026-05-14,2026-05-13,4882.6,level_price,L1,10,1,4844.09,38.51,38.51,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4726.78,4669.47,4688.78,57.30999999999949,43.654999999999745,30.0,1,green_box_edge::green_edge_4,17.29875
2026-02-02,2026-01-30,4392.32,level_price,L15,2,15,4358.93625,33.38375,33.38375,False,False,False,False,False,False,red_box_quarter,red_box_3_75pct,red,3.0,0.75,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,15,red_box_quarter::red_box_3_75pct,17.29875
2026-05-08,2026-05-07,4513.1,level_price,L9,2,9,4545.63,-32.53,32.53,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4764.81,4685.22,4687.08,79.59000000000015,54.79500000000007,30.0,9,red_box_edge::red_edge_4,17.29875
2026-02-11,2026-02-10,4805.51,level_price,L9,1,9,4836.24,-30.73,30.73,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,5078.56,4987.4,5025.3,91.16000000000076,60.58000000000038,30.0,9,red_box_edge::red_edge_4,17.29875
