range_bucket,close_position_bucket,rows_bucket,date_count,expanded_oracle_median_abs_error,expanded_oracle_avg_within_5,original_oracle_avg_within_5,recovered_within_5_pct,expansion_regime_score
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7,11.045156,32.142857142857146,50.0,0.0,20.843227
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6,7.9393650000000004,29.166666666666668,41.66666666666667,4.166666666666666,20.475762
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6,11.404375,26.08695652173913,30.434782608695656,13.043478260869565,20.463257
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2,5.845000000000001,25.0,25.0,0.0,16.62325
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3,20.1646875,25.0,33.33333333333333,0.0,14.475297
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4,16.8169395,18.75,18.75,6.25,12.477459
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25,16.926875000000003,17.0,45.0,3.0,10.260969
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14,15.2015625,16.071428571428573,37.5,3.571428571428571,10.041194
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6,19.364375,16.666666666666664,12.5,4.166666666666666,10.01201
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2,14.9171955,12.5,12.5,0.0,6.512421
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30,16.085515,11.666666666666666,38.333333333333336,0.8333333333333334,6.003839
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5,18.110414499999997,10.0,15.0,5.0,5.783438
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7,11.539562499999999,10.714285714285714,50.0,0.0,5.769066
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5,36.774375,15.0,15.0,0.0,4.983844
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13,17.6901045,9.615384615384617,25.0,0.0,4.077254
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8,23.4741665,9.375,18.75,0.0,3.041375
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,21.4632815,6.25,37.5,0.0,1.155508
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3,35.55125,8.333333333333332,16.666666666666664,0.0,0.500646
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13,22.28875,3.8461538461538463,21.153846153846153,1.9230769230769231,-0.074082
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5,27.90625,5.0,15.0,0.0,-0.685937
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,1,11.385,0.0,0.0,0.0,-1.70775
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1,17.9928125,0.0,100.0,0.0,-2.698922
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3,57.090337,8.333333333333332,8.333333333333332,0.0,-2.730217
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2,20.91321,0.0,0.0,0.0,-3.136981
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1,27.6747915,0.0,0.0,0.0,-4.151219
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1,28.4025,0.0,0.0,0.0,-4.260375
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,31.7275,0.0,12.5,0.0,-4.759125
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1,33.93875,0.0,0.0,0.0,-5.090812
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3,49.7090625,0.0,8.333333333333332,0.0,-7.456359
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,2,57.21,0.0,0.0,0.0,-8.5815
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,1,88.5,0.0,0.0,0.0,-13.275
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,2,118.88749999999999,0.0,0.0,0.0,-17.833125
