level_date,rows,median_abs_distance,mean_abs_distance,pct_within_3,pct_within_5,dominant_anchor_family,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,formula_sequence
2025-10-01,10,1.7425,2.26,70.0,90.0,prior_hlc,1,2,5,2,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=green_box_midline::green_mid_1 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_midline::red_mid_2 | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3
2025-10-02,10,1.796875,1.689418,100.0,100.0,red_box_quarter,2,0,8,0,L1=green_box_quarter::green_box_2_75pct | L2=green_box_quarter::green_box_2_25pct | L3=prior_range_fraction::prev_range_0.75 | L4=prior_range_fraction::prev_range_0.333333 | L5=red_box_quarter::red_box_2_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct | L8=red_box_quarter::red_box_3_75pct | L9=red_box_quarter::red_box_4_25pct | L10=red_box_quarter::red_box_4_75pct
2025-10-03,10,2.280625,2.97,70.0,70.0,green_box_quarter,1,1,5,3,L1=green_box_quarter::green_box_2_75pct | L2=prior_range_fraction::prev_range_0.875 | L3=green_box_edge::green_edge_1 | L4=prior_hlc::previous_close | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_25pct | L9=red_box_midline::red_mid_3 | L10=red_box_edge::red_edge_3
2025-10-06,7,0.556667,0.860952,100.0,100.0,green_box_quarter,1,2,3,1,L1=green_box_quarter::green_box_3_25pct | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_hlc::previous_pivot_hlc3 | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2
2025-10-07,8,4.51,6.781719,37.5,50.0,green_box_quarter,2,1,3,2,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=green_box_midline::green_mid_2 | L4=prior_hlc::previous_close | L5=prior_range_fraction::prev_range_0.75 | L6=green_box_quarter::green_box_1_75pct | L7=red_box_edge::red_edge_4 | L8=prior_range_fraction::prev_range_0.125
2025-10-08,7,1.175,491.378214,71.428571,85.714286,green_box_quarter,1,0,3,3,L1=green_box_edge::green_edge_2 | L2=red_box_edge::red_edge_4 | L3=prior_range_fraction::prev_range_0.875 | L4=green_box_quarter::green_box_1_75pct | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2
2025-10-09,8,1.2225,1.130625,100.0,100.0,prior_hlc,2,2,3,1,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=red_box_quarter::red_box_1_75pct | L6=prior_range_fraction::prev_range_0.25 | L7=prior_hlc::previous_low | L8=red_box_quarter::red_box_2_75pct
2025-10-10,10,1.194375,2.332875,70.0,90.0,green_box_quarter,0,1,7,2,L1=green_box_midline::green_mid_2 | L2=green_box_quarter::green_box_2_25pct | L3=green_box_edge::green_edge_1 | L4=green_box_quarter::green_box_1_75pct | L5=green_box_midline::green_mid_1 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low | L8=red_box_edge::red_edge_2 | L9=red_box_quarter::red_box_3_25pct | L10=red_box_quarter::red_box_3_75pct
2025-10-13,10,1.478125,2.127706,70.0,80.0,prior_range_fraction,2,1,5,2,L1=green_box_quarter::green_box_3_25pct | L2=green_box_edge::green_edge_2 | L3=green_box_midline::green_mid_2 | L4=red_box_quarter::red_box_1_25pct | L5=prior_hlc::previous_pivot_hlc3 | L6=prior_range_fraction::prev_range_0.382 | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_midline::red_mid_2 | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3
2025-10-14,8,2.35625,3.194845,50.0,75.0,green_box_quarter,1,0,6,1,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=green_box_quarter::green_box_2_75pct | L4=green_box_midline::green_mid_2 | L5=green_box_quarter::green_box_2_25pct | L6=red_box_midline::red_mid_1 | L7=red_box_quarter::red_box_1_75pct | L8=prior_range_fraction::prev_range_0.382
2025-10-15,10,0.39125,0.70875,100.0,100.0,red_box_quarter,0,1,6,3,L1=green_box_quarter::green_box_2_75pct | L2=prior_hlc::previous_high | L3=green_box_quarter::green_box_2_25pct | L4=green_box_edge::green_edge_1 | L5=red_box_quarter::red_box_1_75pct | L6=red_box_edge::red_edge_1 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_midline::red_mid_2 | L9=red_box_quarter::red_box_2_75pct | L10=red_box_edge::red_edge_2
2025-10-16,10,3.1,3.1415,50.0,90.0,prior_hlc,2,2,5,1,L1=green_box_quarter::green_box_2_75pct | L2=green_box_midline::green_mid_2 | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=red_box_quarter::red_box_1_75pct | L7=red_box_edge::red_edge_1 | L8=prior_range_fraction::prev_range_0.125 | L9=red_box_midline::red_mid_2 | L10=red_box_quarter::red_box_2_75pct
2025-10-17,11,3.4475,3.209886,45.454545,81.818182,green_box_quarter,0,3,6,2,L1=green_box_quarter::green_box_2_75pct | L2=prior_hlc::previous_high | L3=green_box_midline::green_mid_2 | L4=green_box_quarter::green_box_2_25pct | L5=red_box_midline::red_mid_1 | L6=green_box_edge::green_edge_1 | L7=prior_hlc::previous_mid | L8=red_box_edge::red_edge_1 | L9=green_box_midline::green_mid_1 | L10=green_box_quarter::green_box_1_25pct | L11=prior_hlc::previous_low
2025-10-20,10,4.454824,4.656125,30.0,60.0,prior_range_fraction,4,2,3,1,L1=prior_range_fraction::prev_range_0.875 | L2=prior_range_fraction::prev_range_0.75 | L3=prior_range_fraction::prev_range_0.666667 | L4=prior_hlc::previous_mid | L5=prior_range_fraction::prev_range_0.333333 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low | L8=red_box_edge::red_edge_2 | L9=red_box_quarter::red_box_3_25pct | L10=red_box_midline::red_mid_3
2025-10-21,13,4.09,5.211543,46.153846,53.846154,green_box_quarter,1,1,9,2,L1=green_box_quarter::green_box_3_25pct | L2=green_box_quarter::green_box_2_75pct | L3=green_box_midline::green_mid_2 | L4=red_box_midline::red_mid_1 | L5=prior_hlc::previous_mid | L6=prior_range_fraction::prev_range_0.333333 | L7=green_box_quarter::green_box_1_25pct | L8=red_box_quarter::red_box_2_75pct | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3 | L11=red_box_quarter::red_box_3_75pct | L12=red_box_edge::red_edge_3 | L13=red_box_midline::red_mid_4
