range_bucket,close_position_bucket,rows_bucket,date_count,superset_audited_avg_within_5,dynamic_audited_avg_within_5,dynamic_recovered_within_5_pct,dynamic_audited_median_abs_error,dynamic_regime_score
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,1,0.0,100.0,100.0,2.690978,99.596353
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1,100.0,100.0,0.0,1.286457,74.807031
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13,25.0,78.84615384615384,53.84615384615385,0.9637495,72.451591
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5,20.0,75.0,55.00000000000001,1.06625,69.840062
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30,39.166666666666664,79.16666666666666,40.0,0.8675595,69.244866
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6,45.83333333333333,79.16666666666666,33.33333333333333,1.3565625,67.504849
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7,50.0,78.57142857142857,28.57142857142857,0.4594965,66.002504
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25,48.0,75.0,27.0,0.90346,62.864481
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2,0.0,62.5,62.5,2.7602349999999998,62.085965
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13,23.076923076923077,65.38461538461539,42.30769230769231,2.02125,59.312197
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14,41.07142857142857,69.64285714285714,28.57142857142857,0.88125,59.242812
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2,12.5,62.5,50.0,2.053654,59.066952
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7,50.0,71.42857142857143,21.428571428571427,1.1175000000000002,58.760946
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6,43.47826086956522,69.56521739130434,26.08695652173913,0.626504,58.601677
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3,33.33333333333333,66.66666666666666,33.33333333333333,2.5865625000000003,57.945349
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8,18.75,62.5,43.75,1.8671875,57.532422
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2,25.0,62.5,37.5,3.7229685000000003,55.691555
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6,16.666666666666664,54.166666666666664,37.5,1.773741,49.733939
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4,25.0,56.25,31.25,2.695999,49.5956
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3,16.666666666666664,50.0,33.33333333333333,9.9360415,44.342927
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5,15.0,45.0,30.0,5.0739795,40.488903
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5,15.0,45.0,30.0,7.5831775,40.112523
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,37.5,50.0,12.5,7.7209375,39.466859
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,12.5,37.5,25.0,9.782499999999999,32.907625
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1,0.0,25.0,25.0,17.3800175,22.392997
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1,0.0,25.0,25.0,19.9278125,22.010828
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3,8.333333333333332,16.666666666666664,8.333333333333332,34.33476,9.433119
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3,8.333333333333332,16.666666666666664,8.333333333333332,43.084236000000004,8.120698
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1,0.0,0.0,0.0,27.6747915,-4.151219
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,2,0.0,0.0,0.0,44.916250000000005,-6.737438
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,1,0.0,0.0,0.0,57.91875,-8.687812
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,2,0.0,0.0,0.0,106.81375,-16.022062
