dynamic_oracle_source_family,dynamic_oracle_source_type,oracle_win_count,dynamic_oracle_pct_within_5,dynamic_oracle_median_abs_error,dynamic_recovered_within_5_pct
LEVEL_RESIDUAL,original_base_level_superset_recent8_median,1.0,100.0,2.78125,100.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_q75,1.0,100.0,0.838171,100.0
REGIME_LEVEL_RESIDUAL,original_base_regime_superset_recent8_median,1.0,100.0,0.2325,100.0
SOURCE_LEVEL_RESIDUAL,original_base_source_original_q75,1.0,100.0,0.42158,100.0
SOURCE_LEVEL_RESIDUAL,superset_base_source_original_q75,1.0,100.0,0.8167,100.0
SOURCE_LEVEL_RESIDUAL,superset_base_source_original_q25,3.0,100.0,0.63132,66.666667
REGIME_LEVEL_RESIDUAL,superset_base_regime_original_mean,7.0,100.0,0.528311,57.142857
LEVEL_RESIDUAL,superset_base_level_superset_q75,41.0,56.097561,4.145,56.097561
REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q75,25.0,64.0,2.05625,56.0
LEVEL_RESIDUAL,superset_base_level_superset_q25,57.0,59.649123,3.382084,52.631579
SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_median,8.0,100.0,0.194948,50.0
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q75,6.0,83.333333,0.498125,50.0
REGIME_LEVEL_RESIDUAL,superset_base_regime_original_q25,6.0,83.333333,0.141875,50.0
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_mean,4.0,100.0,0.091105,50.0
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_median,2.0,100.0,0.644062,50.0
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_q75,35.0,74.285714,0.987083,48.571429
SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_mean,11.0,100.0,0.967859,45.454545
LEVEL_RESIDUAL,superset_base_level_original_recent8_median,9.0,88.888889,1.475087,44.444444
REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_median,7.0,85.714286,0.783333,42.857143
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_median,12.0,100.0,1.526562,41.666667
LEVEL_RESIDUAL,superset_base_level_original_mean,19.0,94.736842,0.460414,36.842105
REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q25,31.0,77.419355,1.76789,35.483871
SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,102.0,35.294118,9.013613,35.294118
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent8_median,12.0,100.0,0.176915,33.333333
REGIME_LEVEL_RESIDUAL,original_base_regime_superset_q75,3.0,100.0,0.061875,33.333333
REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent8_median,3.0,100.0,0.19875,33.333333
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_mean,19.0,68.421053,0.563611,31.578947
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_q25,36.0,69.444444,1.3225,30.555556
SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q25,45.0,33.333333,16.817813,28.888889
LEVEL_RESIDUAL,superset_base_level_superset_recent8_median,47.0,59.574468,2.315,25.531915
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q25,8.0,87.5,0.192812,25.0
REGIME_LEVEL_RESIDUAL,superset_base_regime_original_median,4.0,100.0,0.199385,25.0
LEVEL_RESIDUAL,superset_base_level_original_q25,38.0,23.684211,17.25,23.684211
REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_mean,17.0,88.235294,0.870119,23.529412
LEVEL_RESIDUAL,superset_base_level_original_q75,13.0,23.076923,12.10007,23.076923
SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,13.0,76.923077,0.7225,23.076923
LEVEL_RESIDUAL,superset_base_level_superset_mean,14.0,100.0,0.224742,21.428571
LEVEL_RESIDUAL,superset_base_level_superset_median,16.0,100.0,0.240625,12.5
SUPERSET_AUDITED_BASE,ORIGINAL_ORACLE_PRESERVED,47.0,63.829787,1.75,0.0
LEVEL_RESIDUAL,superset_base_level_original_median,13.0,100.0,0.305,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_recent8_median,2.0,100.0,0.437812,0.0
REGIME_LEVEL_RESIDUAL,superset_base_regime_original_q75,2.0,100.0,0.275395,0.0
SOURCE_LEVEL_RESIDUAL,superset_base_source_original_mean,2.0,100.0,0.351375,0.0
SUPERSET_AUDITED_BASE,EXPANDED_ORACLE_BETTER,2.0,50.0,2.90686,0.0
CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_mean,1.0,100.0,0.429371,0.0
CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_q75,1.0,100.0,1.348437,0.0
LEVEL_RESIDUAL,original_base_level_superset_median,1.0,100.0,0.03625,0.0
LEVEL_RESIDUAL,original_base_level_superset_q25,1.0,100.0,0.05875,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_median,1.0,100.0,0.03,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_q75,1.0,100.0,0.0875,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_mean,1.0,100.0,2.144861,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_q25,1.0,100.0,0.0525,0.0
RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_recent8_median,1.0,100.0,0.003125,0.0
REGIME_LEVEL_RESIDUAL,original_base_regime_original_q25,1.0,100.0,0.574688,0.0
REGIME_LEVEL_RESIDUAL,original_base_regime_superset_mean,1.0,100.0,0.011837,0.0
REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent8_median,1.0,100.0,0.024375,0.0
SOURCE_LEVEL_RESIDUAL,original_base_source_original_q25,1.0,100.0,0.010625,0.0
