level_date,prev_date,rows,prev_range,box_size,range_bucket,close_position_bucket,rows_bucket,prediction_available_levels,missing_prediction_levels,dominant_candidate_method,top1_anchor_hit_rate,top3_anchor_hit_rate,top5_anchor_hit_rate,best_candidate_median_abs_error,best_candidate_mean_abs_error,best_candidate_pct_within_3,best_candidate_pct_within_5,top1_candidate_median_abs_error,candidate_band_median_width
2025-10-01,2025-09-30,10,78.53999999999996,54.26999999999998,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,0,4,NO_PREDICTION,,,,,,,,,
2025-10-02,2025-10-01,10,42.06999999999971,36.034999999999854,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,HISTORICAL_GLOBAL,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0
2025-10-03,2025-10-02,10,77.23000000000002,53.61500000000001,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_ONLY,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0
2025-10-06,2025-10-03,7,53.61000000000013,41.805000000000064,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_ONLY,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0
2025-10-07,2025-10-06,8,85.67000000000007,57.835000000000036,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0
2025-10-08,2025-10-07,7,50.25999999999976,40.12999999999988,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,50.0,50.0,50.0,1.4125,1.745,75.0,100.0,1.4125,0.0
2025-10-09,2025-10-08,8,75.79999999999973,52.899999999999864,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,21.2975,45.75125,25.0,25.0,21.2975,0.0
2025-10-10,2025-10-09,10,113.14999999999964,71.57499999999982,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_ONLY,25.0,25.0,25.0,11.88875,12.181875,25.0,25.0,17.578125,60.355625
2025-10-13,2025-10-10,10,75.89000000000033,52.945000000000164,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,25.0,25.0,0.868125,2.193021,75.0,75.0,0.868125,0.0
2025-10-14,2025-10-13,8,121.07000000000062,75.53500000000031,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_CLOSE_ONLY,0.0,0.0,0.0,16.233125,18.28125,25.0,25.0,34.626255,64.86375
2025-10-15,2025-10-14,10,89.29999999999973,59.649999999999864,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,29.44125,27.853125,0.0,0.0,29.44125,0.0
2025-10-16,2025-10-15,10,77.53999999999996,53.76999999999998,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,50.0,50.0,4.81236,5.584305,50.0,50.0,5.02861,1.68514
2025-10-17,2025-10-16,11,130.67000000000007,80.33500000000004,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE,0.0,0.0,0.0,12.755625,11.998125,0.0,0.0,12.755625,0.0
2025-10-20,2025-10-17,10,193.3100000000004,111.6550000000002,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_ONLY,0.0,0.0,0.0,76.58375,71.655313,0.0,0.0,89.4975,19.370625
2025-10-21,2025-10-20,13,162.23999999999978,96.11999999999989,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,35.17,33.04,0.0,25.0,35.17,0.0
2025-10-22,2025-10-21,12,293.00999999999976,161.50499999999988,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_CLOSE_ONLY,0.0,0.0,0.0,51.3375,51.281562,0.0,0.0,56.525625,26.729424
2025-10-23,2025-10-22,10,156.6300000000001,93.31500000000005,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,83.695651,81.624076,0.0,0.0,83.695651,0.0
2025-10-24,2025-10-23,10,88.62999999999965,59.31499999999983,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,25.0,25.0,17.894375,16.94854,25.0,25.0,17.894375,10.9075
2025-10-27,2025-10-24,10,100.05000000000018,65.02500000000009,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,50.0,50.0,50.0,5.90875,5.536562,25.0,50.0,8.618575,25.798333
2025-10-28,2025-10-27,13,137.63999999999987,83.81999999999994,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_ONLY,25.0,50.0,50.0,4.03924,5.86837,50.0,50.0,16.295,76.32
