best_anchor_family,best_anchor_name,candidate_label,candidate_type,date_count,formula_fingerprint_score,level_name,mean_abs_distance,median_abs_distance,pct_within_1,pct_within_10,pct_within_2,pct_within_3,pct_within_5,published_rank_high_to_low,published_rank_low_to_high,rows,signed_distance_mean,signed_distance_median
green_box_edge,green_edge_1,L4 -> green_box_edge::green_edge_1,level_name_anchor,6,95.25,L4,0.284167,0.14,100.0,100.0,100.0,100.0,100.0,,,6,-0.264167,-0.14
green_box_edge,green_edge_1,L4 -> green_box_edge::green_edge_1,l4_l7_anchor,6,95.25,L4,0.284167,0.14,100.0,100.0,100.0,100.0,100.0,,,6,-0.264167,-0.14
green_box_edge,green_edge_1,rank_high_4 -> green_box_edge::green_edge_1,rank_high_to_low_anchor,6,95.25,,0.284167,0.14,100.0,100.0,100.0,100.0,100.0,4,,6,-0.264167,-0.14
prior_range_fraction,prev_range_0.333333,rank_low_5 -> prior_range_fraction::prev_range_0.333333,rank_low_to_high_anchor,7,95.05821,,0.659531,0.256716,57.142857,100.0,100.0,100.0,100.0,,5,7,-0.084257,0.19335
green_box_edge,green_edge_1,L5 -> green_box_edge::green_edge_1,level_name_anchor,5,94.7375,L5,0.579,0.305,80.0,100.0,100.0,100.0,100.0,,,5,0.327,-0.115
green_box_edge,green_edge_1,L5 -> green_box_edge::green_edge_1,l4_l7_anchor,5,94.7375,L5,0.579,0.305,80.0,100.0,100.0,100.0,100.0,,,5,0.327,-0.115
green_box_edge,green_edge_1,rank_high_5 -> green_box_edge::green_edge_1,rank_high_to_low_anchor,5,94.7375,,0.579,0.305,80.0,100.0,100.0,100.0,100.0,5,,5,0.327,-0.115
prior_hlc,previous_mid,rank_low_4 -> prior_hlc::previous_mid,rank_low_to_high_anchor,9,94.7,,0.655,0.48,77.777778,100.0,88.888889,100.0,100.0,,4,9,-0.418333,-0.24
green_box_quarter,green_box_2_25pct,rank_low_5 -> green_box_quarter::green_box_2_25pct,rank_low_to_high_anchor,10,94.64375,,0.74675,0.5425,70.0,100.0,90.0,100.0,100.0,,5,10,0.366,0.10625
green_box_quarter,green_box_2_25pct,rank_high_6 -> green_box_quarter::green_box_2_25pct,rank_high_to_low_anchor,5,94.621875,,0.5495,0.35125,80.0,100.0,100.0,100.0,100.0,6,,5,0.458,0.35125
prior_hlc,previous_pivot_hlc3,L5 -> prior_hlc::previous_pivot_hlc3,level_name_anchor,12,94.533334,L5,1.028889,0.666666,66.666667,100.0,75.0,100.0,100.0,,,12,-0.011667,-0.041667
prior_hlc,previous_pivot_hlc3,L5 -> prior_hlc::previous_pivot_hlc3,l4_l7_anchor,12,94.533334,L5,1.028889,0.666666,66.666667,100.0,75.0,100.0,100.0,,,12,-0.011667,-0.041667
prior_hlc,previous_pivot_hlc3,rank_high_5 -> prior_hlc::previous_pivot_hlc3,rank_high_to_low_anchor,12,94.533334,,1.028889,0.666666,66.666667,100.0,75.0,100.0,100.0,5,,12,-0.011667,-0.041667
red_box_quarter,red_box_2_25pct,rank_low_5 -> red_box_quarter::red_box_2_25pct,rank_low_to_high_anchor,5,94.471875,,0.56175,0.41125,80.0,100.0,100.0,100.0,100.0,,5,5,0.53125,0.41125
red_box_quarter,red_box_2_25pct,L7 -> red_box_quarter::red_box_2_25pct,level_name_anchor,9,94.43125,L7,0.902639,0.5875,66.666667,100.0,88.888889,100.0,100.0,,,9,-0.72375,-0.46875
red_box_quarter,red_box_2_25pct,L7 -> red_box_quarter::red_box_2_25pct,l4_l7_anchor,9,94.43125,L7,0.902639,0.5875,66.666667,100.0,88.888889,100.0,100.0,,,9,-0.72375,-0.46875
red_box_quarter,red_box_2_25pct,rank_high_7 -> red_box_quarter::red_box_2_25pct,rank_high_to_low_anchor,9,94.43125,,0.902639,0.5875,66.666667,100.0,88.888889,100.0,100.0,7,,9,-0.72375,-0.46875
green_box_quarter,green_box_1_25pct,rank_low_3 -> green_box_quarter::green_box_1_25pct,rank_low_to_high_anchor,8,93.851562,,0.922656,0.779375,50.0,100.0,87.5,100.0,100.0,,3,8,0.256406,0.04375
red_box_quarter,red_box_1_25pct,L4 -> red_box_quarter::red_box_1_25pct,level_name_anchor,5,93.846875,L4,0.7245,0.66125,60.0,100.0,100.0,100.0,100.0,,,5,0.5385,0.66125
red_box_quarter,red_box_1_25pct,L4 -> red_box_quarter::red_box_1_25pct,l4_l7_anchor,5,93.846875,L4,0.7245,0.66125,60.0,100.0,100.0,100.0,100.0,,,5,0.5385,0.66125
red_box_quarter,red_box_1_25pct,rank_high_4 -> red_box_quarter::red_box_1_25pct,rank_high_to_low_anchor,5,93.846875,,0.7245,0.66125,60.0,100.0,100.0,100.0,100.0,4,,5,0.5385,0.66125
prior_hlc,previous_close,L5 -> prior_hlc::previous_close,level_name_anchor,10,93.75,L5,1.295,0.9,60.0,100.0,70.0,100.0,100.0,,,10,-0.581,-0.06
prior_hlc,previous_close,L5 -> prior_hlc::previous_close,l4_l7_anchor,10,93.75,L5,1.295,0.9,60.0,100.0,70.0,100.0,100.0,,,10,-0.581,-0.06
prior_hlc,previous_close,rank_high_5 -> prior_hlc::previous_close,rank_high_to_low_anchor,10,93.75,,1.295,0.9,60.0,100.0,70.0,100.0,100.0,5,,10,-0.581,-0.06
prior_hlc,previous_pivot_hlc3,rank_low_6 -> prior_hlc::previous_pivot_hlc3,rank_low_to_high_anchor,7,93.625,,1.050952,0.83,71.428571,100.0,71.428571,100.0,100.0,,6,7,0.116667,0.003333
green_box_midline,green_mid_1,L7 -> green_box_midline::green_mid_1,level_name_anchor,6,93.49375,L7,0.929583,0.8425,50.0,100.0,100.0,100.0,100.0,,,6,0.360417,0.0475
green_box_midline,green_mid_1,L7 -> green_box_midline::green_mid_1,l4_l7_anchor,6,93.49375,L7,0.929583,0.8425,50.0,100.0,100.0,100.0,100.0,,,6,0.360417,0.0475
green_box_midline,green_mid_1,rank_high_7 -> green_box_midline::green_mid_1,rank_high_to_low_anchor,6,93.49375,,0.929583,0.8425,50.0,100.0,100.0,100.0,100.0,7,,6,0.360417,0.0475
prior_hlc,previous_mid,L5 -> prior_hlc::previous_mid,level_name_anchor,8,93.3875,L5,1.148125,0.965,50.0,100.0,75.0,100.0,100.0,,,8,0.664375,0.3725
prior_hlc,previous_mid,L5 -> prior_hlc::previous_mid,l4_l7_anchor,8,93.3875,L5,1.148125,0.965,50.0,100.0,75.0,100.0,100.0,,,8,0.664375,0.3725
prior_hlc,previous_mid,rank_high_5 -> prior_hlc::previous_mid,rank_high_to_low_anchor,8,93.3875,,1.148125,0.965,50.0,100.0,75.0,100.0,100.0,5,,8,0.664375,0.3725
red_box_quarter,red_box_2_25pct,L5 -> red_box_quarter::red_box_2_25pct,level_name_anchor,7,93.334375,L5,0.726429,0.94625,71.428571,100.0,100.0,100.0,100.0,,,7,0.273571,-0.02875
red_box_quarter,red_box_2_25pct,L5 -> red_box_quarter::red_box_2_25pct,l4_l7_anchor,7,93.334375,L5,0.726429,0.94625,71.428571,100.0,100.0,100.0,100.0,,,7,0.273571,-0.02875
red_box_quarter,red_box_2_25pct,rank_high_5 -> red_box_quarter::red_box_2_25pct,rank_high_to_low_anchor,7,93.334375,,0.726429,0.94625,71.428571,100.0,100.0,100.0,100.0,5,,7,0.273571,-0.02875
red_box_edge,red_edge_1,rank_low_4 -> red_box_edge::red_edge_1,rank_low_to_high_anchor,10,93.275,,1.237,1.09,50.0,100.0,80.0,100.0,100.0,,4,10,0.719,0.93
red_box_quarter,red_box_1_25pct,rank_low_5 -> red_box_quarter::red_box_1_25pct,rank_low_to_high_anchor,7,93.15,,0.96,1.02,42.857143,100.0,100.0,100.0,100.0,,5,7,-0.149286,-0.6575
prior_range_fraction,prev_range_0.333333,rank_low_4 -> prior_range_fraction::prev_range_0.333333,rank_low_to_high_anchor,5,93.141462,,0.768746,0.943415,80.0,100.0,100.0,100.0,100.0,,4,5,0.768746,0.943415
prior_range_fraction,prev_range_0.875,L5 -> prior_range_fraction::prev_range_0.875,level_name_anchor,7,92.8,L5,1.02125,1.16,42.857143,100.0,85.714286,100.0,100.0,,,7,0.059464,-0.1575
prior_range_fraction,prev_range_0.875,L5 -> prior_range_fraction::prev_range_0.875,l4_l7_anchor,7,92.8,L5,1.02125,1.16,42.857143,100.0,85.714286,100.0,100.0,,,7,0.059464,-0.1575
prior_range_fraction,prev_range_0.875,rank_high_5 -> prior_range_fraction::prev_range_0.875,rank_high_to_low_anchor,7,92.8,,1.02125,1.16,42.857143,100.0,85.714286,100.0,100.0,5,,7,0.059464,-0.1575
green_box_quarter,green_box_1_25pct,L5 -> green_box_quarter::green_box_1_25pct,level_name_anchor,8,92.796875,L5,1.348438,1.20125,25.0,100.0,75.0,100.0,100.0,,,8,0.099687,-0.38375
green_box_quarter,green_box_1_25pct,L5 -> green_box_quarter::green_box_1_25pct,l4_l7_anchor,8,92.796875,L5,1.348438,1.20125,25.0,100.0,75.0,100.0,100.0,,,8,0.099687,-0.38375
prior_range_fraction,prev_range_0.333333,L5 -> prior_range_fraction::prev_range_0.333333,level_name_anchor,6,92.729274,L5,0.898335,1.14829,33.333333,100.0,100.0,100.0,100.0,,,6,-0.291632,-0.458314
prior_range_fraction,prev_range_0.333333,L5 -> prior_range_fraction::prev_range_0.333333,l4_l7_anchor,6,92.729274,L5,0.898335,1.14829,33.333333,100.0,100.0,100.0,100.0,,,6,-0.291632,-0.458314
prior_range_fraction,prev_range_0.333333,rank_high_5 -> prior_range_fraction::prev_range_0.333333,rank_high_to_low_anchor,6,92.729274,,0.898335,1.14829,33.333333,100.0,100.0,100.0,100.0,5,,6,-0.291632,-0.458314
prior_range_fraction,prev_range_0.666667,rank_low_5 -> prior_range_fraction::prev_range_0.666667,rank_low_to_high_anchor,5,92.666725,,1.151979,1.13331,20.0,100.0,100.0,100.0,100.0,,5,5,1.151979,1.13331
