level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,oracle_available_levels,oracle_candidate_pct_within_3,oracle_candidate_pct_within_5,router_pct_within_3,router_pct_within_5,oracle_median_abs_error,router_median_abs_error,median_router_minus_oracle_gap,mean_router_minus_oracle_gap,router_missed_available_within_5_pct,mode_selection_failure_pct,candidate_ranking_failure_pct,candidate_generation_failure_pct,dominant_gap_class,oracle_ordered_ladder_valid,oracle_ordered_ladder_median_abs_error,oracle_ordered_ladder_pct_within_3,oracle_ordered_ladder_pct_within_5,oracle_bracketed_by_L5_L6
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,27.674792,27.674792,0.0,0.0,0.0,0.0,0.0,100.0,CANDIDATE_GENERATION_FAILURE_GT10,True,27.674792,0.0,0.0,False
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,28.000417,28.000417,0.0,0.0,0.0,0.0,0.0,100.0,CANDIDATE_GENERATION_FAILURE_GT10,True,28.000417,0.0,0.0,True
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,12.66,12.66,0.0,0.0,0.0,0.0,0.0,100.0,CANDIDATE_GENERATION_FAILURE_GT10,True,12.66,0.0,0.0,False
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,15.075,15.075,0.0,0.0,0.0,0.0,0.0,75.0,CANDIDATE_GENERATION_FAILURE_GT10,True,15.075,0.0,0.0,False
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,75.0,100.0,1.4125,1.4125,0.0,0.0,0.0,0.0,0.0,0.0,ROUTER_ACCEPTABLE_WITHIN_5,True,1.4125,75.0,100.0,False
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,25.0,25.0,25.0,21.2975,21.2975,0.0,0.0,0.0,0.0,0.0,75.0,CANDIDATE_GENERATION_FAILURE_GT10,True,21.2975,25.0,25.0,False
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,25.0,25.0,25.0,11.88875,17.670625,3.61375,4.651562,0.0,0.0,0.0,75.0,CANDIDATE_GENERATION_FAILURE_GT10,False,11.88875,25.0,25.0,True
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,75.0,75.0,75.0,0.868125,0.868125,0.0,0.0,0.0,0.0,0.0,0.0,ROUTER_ACCEPTABLE_WITHIN_5,True,0.868125,75.0,75.0,False
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,25.0,25.0,25.0,16.233125,16.233125,0.0,0.0,0.0,0.0,0.0,50.0,CANDIDATE_GENERATION_FAILURE_GT10,True,16.233125,25.0,25.0,False
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,29.44125,29.44125,0.0,0.0,0.0,0.0,0.0,75.0,CANDIDATE_GENERATION_FAILURE_GT10,True,29.44125,0.0,0.0,False
2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4208.11,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,50.0,25.0,50.0,5.49618,5.71243,0.0,0.108125,0.0,0.0,0.0,25.0,ROUTER_ACCEPTABLE_WITHIN_5,True,5.49618,50.0,50.0,False
2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4325.92,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,12.755625,12.755625,0.0,0.0,0.0,0.0,0.0,75.0,CANDIDATE_GENERATION_FAILURE_GT10,True,12.755625,0.0,0.0,False
