range_bucket,close_position_bucket,rows_bucket,date_count,oracle_median_abs_error,router_median_abs_error,median_router_minus_oracle_gap,oracle_avg_within_5,router_avg_within_5,router_missed_available_within_5_pct,mode_selection_failure_pct,candidate_ranking_failure_pct,candidate_generation_failure_pct,oracle_ordered_ladder_median_abs_error,oracle_ordered_ladder_avg_within_5,oracle_regime_ceiling_score
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,1.569375,13.45125,10.064375,100.0,50.0,50.0,0.0,50.0,0.0,1.569375,100.0,42.594781
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,5.365412,12.66,0.0,50.0,28.571429,21.428571,10.714286,10.714286,46.428571,5.365412,50.0,31.872933
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,7.3175,19.72234,7.11547,45.0,22.0,23.0,1.0,22.0,40.0,7.3175,45.0,27.897531
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6.0,7.209877,15.693125,0.0,41.666667,16.666667,25.0,4.166667,20.833333,33.333333,7.209877,41.666667,27.780864
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,16.14625,16.233125,0.0,33.333333,33.333333,0.0,0.0,0.0,58.333333,16.14625,33.333333,27.630104
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,6.0375,0.0,25.0,25.0,0.0,0.0,0.0,25.0,6.0375,25.0,27.240625
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30.0,6.284375,15.423128,3.270625,38.333333,16.666667,21.666667,5.833333,15.833333,33.333333,6.284375,38.333333,26.858115
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,6.174062,15.292489,6.578345,50.0,10.714286,39.285714,10.714286,28.571429,28.571429,6.174062,50.0,26.783673
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6.0,8.5025,12.719688,0.0,30.555556,18.055556,12.5,0.0,12.5,37.5,9.05625,30.0,26.068819
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,5.456875,20.597187,11.6575,37.5,17.857143,19.642857,0.0,19.642857,42.857143,5.456875,37.5,25.50071
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,13.812188,36.377812,7.530294,37.5,18.75,18.75,6.25,12.5,56.25,13.812188,37.5,24.415894
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,9.575625,22.836875,3.971875,25.0,13.461538,11.538462,1.923077,9.615385,51.923077,9.575625,25.0,23.254026
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,14.055829,16.091675,0.0,15.0,15.0,0.0,0.0,0.0,60.0,14.055829,15.0,21.736043
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,13.851875,23.959062,0.0,12.5,12.5,0.0,0.0,0.0,58.333333,13.851875,12.5,20.912031
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,12.71904,14.155,0.0,18.75,6.25,12.5,6.25,6.25,62.5,12.71904,18.75,20.88274
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,14.393598,0.0,12.5,12.5,0.0,0.0,0.0,75.0,14.393598,12.5,20.7766
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,11.521667,34.88875,6.290625,21.153846,7.692308,13.461538,1.923077,11.538462,61.538462,11.521667,21.153846,20.572997
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,16.26698,28.265781,0.743438,18.75,9.375,9.375,0.0,9.375,65.625,16.26698,18.75,20.472068
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,20.705625,24.64,0.0,16.666667,8.333333,8.333333,0.0,8.333333,75.0,20.705625,16.666667,18.99026
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,23.21375,35.22,0.0,15.0,10.0,5.0,0.0,5.0,75.0,23.21375,15.0,18.446562
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,16.1025,25.39821,9.29571,0.0,0.0,0.0,0.0,0.0,100.0,16.1025,0.0,14.115233
