candidate_type,level_name,best_anchor_family,best_anchor_name,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,signed_distance_median,signed_distance_mean,formula_fingerprint_score,candidate_label
l4_l7_anchor,L4,green_box_edge,green_edge_1,6,6,0.14,0.284167,100.0,100.0,100.0,100.0,100.0,-0.14,-0.264167,95.25,L4 -> green_box_edge::green_edge_1
l4_l7_anchor,L5,green_box_edge,green_edge_1,5,5,0.305,0.579,80.0,100.0,100.0,100.0,100.0,-0.115,0.327,94.7375,L5 -> green_box_edge::green_edge_1
l4_l7_anchor,L5,prior_hlc,previous_pivot_hlc3,12,12,0.666666,1.028889,66.666667,75.0,100.0,100.0,100.0,-0.041667,-0.011667,94.533334,L5 -> prior_hlc::previous_pivot_hlc3
l4_l7_anchor,L7,red_box_quarter,red_box_2_25pct,9,9,0.5875,0.902639,66.666667,88.888889,100.0,100.0,100.0,-0.46875,-0.72375,94.43125,L7 -> red_box_quarter::red_box_2_25pct
l4_l7_anchor,L4,red_box_quarter,red_box_1_25pct,5,5,0.66125,0.7245,60.0,100.0,100.0,100.0,100.0,0.66125,0.5385,93.846875,L4 -> red_box_quarter::red_box_1_25pct
l4_l7_anchor,L5,prior_hlc,previous_close,10,10,0.9,1.295,60.0,70.0,100.0,100.0,100.0,-0.06,-0.581,93.75,L5 -> prior_hlc::previous_close
l4_l7_anchor,L7,green_box_midline,green_mid_1,6,6,0.8425,0.929583,50.0,100.0,100.0,100.0,100.0,0.0475,0.360417,93.49375,L7 -> green_box_midline::green_mid_1
l4_l7_anchor,L5,prior_hlc,previous_mid,8,8,0.965,1.148125,50.0,75.0,100.0,100.0,100.0,0.3725,0.664375,93.3875,L5 -> prior_hlc::previous_mid
l4_l7_anchor,L5,red_box_quarter,red_box_2_25pct,7,7,0.94625,0.726429,71.428571,100.0,100.0,100.0,100.0,-0.02875,0.273571,93.334375,L5 -> red_box_quarter::red_box_2_25pct
l4_l7_anchor,L5,prior_range_fraction,prev_range_0.875,7,7,1.16,1.02125,42.857143,85.714286,100.0,100.0,100.0,-0.1575,0.059464,92.8,L5 -> prior_range_fraction::prev_range_0.875
l4_l7_anchor,L5,green_box_quarter,green_box_1_25pct,8,8,1.20125,1.348438,25.0,75.0,100.0,100.0,100.0,-0.38375,0.099687,92.796875,L5 -> green_box_quarter::green_box_1_25pct
l4_l7_anchor,L5,prior_range_fraction,prev_range_0.333333,6,6,1.14829,0.898335,33.333333,100.0,100.0,100.0,100.0,-0.458314,-0.291632,92.729274,L5 -> prior_range_fraction::prev_range_0.333333
l4_l7_anchor,L6,prior_hlc,previous_pivot_hlc3,6,6,1.211666,1.313333,50.0,83.333333,100.0,100.0,100.0,-0.243333,-0.107778,92.570834,L6 -> prior_hlc::previous_pivot_hlc3
l4_l7_anchor,L4,prior_range_fraction,prev_range_0.75,9,9,1.45,1.5675,11.111111,66.666667,100.0,100.0,100.0,-1.0625,-0.470833,92.275,L4 -> prior_range_fraction::prev_range_0.75
l4_l7_anchor,L7,prior_hlc,previous_mid,5,5,1.29,1.336,40.0,60.0,100.0,100.0,100.0,-1.29,-1.144,92.275,L7 -> prior_hlc::previous_mid
l4_l7_anchor,L5,prior_range_fraction,prev_range_0.382,5,5,1.41154,1.347536,40.0,60.0,100.0,100.0,100.0,1.41154,1.219112,91.97115,L5 -> prior_range_fraction::prev_range_0.382
l4_l7_anchor,L7,red_box_edge,red_edge_1,11,11,1.23,1.685,36.363636,72.727273,90.909091,100.0,100.0,0.875,0.691364,88.934091,L7 -> red_box_edge::red_edge_1
l4_l7_anchor,L6,prior_range_fraction,prev_range_0.382,10,10,1.05217,1.327552,50.0,80.0,90.0,100.0,100.0,0.13201,0.459564,88.869575,L6 -> prior_range_fraction::prev_range_0.382
