calibration_mode,level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,prediction_available_levels,missing_prediction_levels,calibrated_top1_pct_within_3,calibrated_top1_pct_within_5,calibrated_top3_pct_within_3,calibrated_top3_pct_within_5,calibrated_best_median_abs_error,calibrated_best_mean_abs_error,calibrated_best_pct_within_3,calibrated_best_pct_within_5,calibrated_top1_median_abs_error,calibrated_cluster_band_median_width,calibrated_ordered_ladder_valid,calibrated_ordered_ladder_median_abs_error,calibrated_ordered_ladder_pct_within_3,calibrated_ordered_ladder_pct_within_5,calibrated_bracketed_by_L5_L6
MODE_A_LIVE_PROXIMITY_HEAVY,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
MODE_C_BALANCED,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
MODE_D_NEAREST_VALID_LADDER,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
MODE_E_SPACING_PRESERVATION,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
MODE_A_LIVE_PROXIMITY_HEAVY,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0,True
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0,True
MODE_C_BALANCED,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0,True
MODE_D_NEAREST_VALID_LADDER,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0,True
MODE_E_SPACING_PRESERVATION,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0,True
MODE_A_LIVE_PROXIMITY_HEAVY,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0,False
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0,False
MODE_C_BALANCED,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0,False
MODE_D_NEAREST_VALID_LADDER,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0,False
MODE_E_SPACING_PRESERVATION,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0,False
MODE_A_LIVE_PROXIMITY_HEAVY,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0,False
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0,False
MODE_C_BALANCED,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0,False
MODE_D_NEAREST_VALID_LADDER,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0,False
MODE_E_SPACING_PRESERVATION,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0,False
MODE_A_LIVE_PROXIMITY_HEAVY,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0,False
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0,False
MODE_C_BALANCED,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0,False
MODE_D_NEAREST_VALID_LADDER,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0,False
