calibration_mode,level_name,prediction_count,top1_pct_within_3,top1_pct_within_5,top1_median_abs_error,top1_median_width
MODE_E_SPACING_PRESERVATION,L4,190.0,7.894737,14.210526,18.25,0.0
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,L4,190.0,7.368421,14.210526,18.3975,0.0
MODE_C_BALANCED,L4,190.0,7.894737,13.684211,18.3975,0.0
MODE_A_LIVE_PROXIMITY_HEAVY,L4,190.0,7.368421,13.684211,18.001891,0.0
MODE_D_NEAREST_VALID_LADDER,L4,190.0,6.315789,12.105263,18.001891,0.0
MODE_A_LIVE_PROXIMITY_HEAVY,L5,190.0,10.0,18.421053,19.176875,0.0
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,L5,190.0,10.0,17.894737,18.36,0.0
MODE_D_NEAREST_VALID_LADDER,L5,190.0,9.473684,17.368421,18.36,0.0
MODE_E_SPACING_PRESERVATION,L5,190.0,9.473684,17.368421,18.694583,0.0
MODE_C_BALANCED,L5,190.0,8.947368,16.842105,19.114375,0.0
MODE_A_LIVE_PROXIMITY_HEAVY,L6,190.0,10.526316,12.105263,19.91691,0.0
MODE_D_NEAREST_VALID_LADDER,L6,190.0,10.526316,12.105263,19.73134,0.0
MODE_C_BALANCED,L6,190.0,9.473684,10.526316,19.73134,0.0
MODE_E_SPACING_PRESERVATION,L6,190.0,7.894737,9.473684,19.73134,0.0
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,L6,190.0,7.368421,8.947368,20.8825,0.0
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,L7,189.0,13.227513,15.873016,25.16,0.0
MODE_C_BALANCED,L7,189.0,11.640212,13.227513,24.115,0.0
MODE_E_SPACING_PRESERVATION,L7,189.0,11.111111,13.227513,24.33,0.0
MODE_A_LIVE_PROXIMITY_HEAVY,L7,189.0,10.582011,12.698413,26.64,0.0
MODE_D_NEAREST_VALID_LADDER,L7,189.0,10.582011,12.698413,25.16,0.0
