calibration_mode,calibrated_ordered_ladder_available,calibrated_ordered_ladder_valid,calibrated_ordered_combo_score,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,calibrated_bracketed_by_L5_L6,calibrated_inside_L4_L7,L4_calibrated_cluster_rank,L4_cluster_mid,L4_cluster_min,L4_cluster_max,L4_cluster_width,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L4_candidate_keys,L5_calibrated_cluster_rank,L5_cluster_mid,L5_cluster_min,L5_cluster_max,L5_cluster_width,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L5_candidate_keys,L6_calibrated_cluster_rank,L6_cluster_mid,L6_cluster_min,L6_cluster_max,L6_cluster_width,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L6_candidate_keys,L7_calibrated_cluster_rank,L7_cluster_mid,L7_cluster_min,L7_cluster_max,L7_cluster_width,L7_actual,L7_abs_error,L7_within_3,L7_within_5,L7_candidate_keys,calibrated_ordered_ladder_median_abs_error,calibrated_ordered_ladder_mean_abs_error,calibrated_ordered_ladder_pct_within_3,calibrated_ordered_ladder_pct_within_5,calibrated_ordered_ladder_total_width,calibrated_ordered_ladder_mean_rank,level_date,prev_date,range_bucket,close_position_bucket,rows_bucket
MODE_A_LIVE_PROXIMITY_HEAVY,True,True,370.598252,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,False,True,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,prior_range_fraction::prev_range_0.75,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,green_box_midline::green_mid_1,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,red_box_quarter::red_box_2_25pct,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,True,True,380.916179,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,False,True,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,prior_range_fraction::prev_range_0.75,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,green_box_midline::green_mid_1,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,red_box_quarter::red_box_2_25pct,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10
MODE_C_BALANCED,True,True,441.931634,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,False,True,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,prior_range_fraction::prev_range_0.75,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,green_box_midline::green_mid_1,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,red_box_quarter::red_box_2_25pct,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10
MODE_D_NEAREST_VALID_LADDER,True,True,396.003973,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,False,True,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,prior_range_fraction::prev_range_0.75,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,green_box_midline::green_mid_1,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,red_box_quarter::red_box_2_25pct,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10
MODE_E_SPACING_PRESERVATION,True,True,402.882476,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,False,True,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,prior_range_fraction::prev_range_0.75,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,green_box_midline::green_mid_1,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,red_box_quarter::red_box_2_25pct,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10
MODE_A_LIVE_PROXIMITY_HEAVY,True,True,372.546705,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,True,True,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,prior_range_fraction::prev_range_0.75,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,green_box_midline::green_mid_1,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,red_box_quarter::red_box_2_25pct,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,True,True,422.797877,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,True,True,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,prior_range_fraction::prev_range_0.75,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,green_box_midline::green_mid_1,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,red_box_quarter::red_box_2_25pct,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10
MODE_C_BALANCED,True,True,473.330828,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,True,True,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,prior_range_fraction::prev_range_0.75,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,green_box_midline::green_mid_1,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,red_box_quarter::red_box_2_25pct,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10
MODE_D_NEAREST_VALID_LADDER,True,True,424.757394,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,True,True,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,prior_range_fraction::prev_range_0.75,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,green_box_midline::green_mid_1,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,red_box_quarter::red_box_2_25pct,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10
MODE_E_SPACING_PRESERVATION,True,True,434.566243,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,True,True,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,prior_range_fraction::prev_range_0.75,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,prior_hlc::previous_pivot_hlc3,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,green_box_midline::green_mid_1,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,red_box_quarter::red_box_2_25pct,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10
