calibration_mode,range_bucket,close_position_bucket,rows_bucket,date_count,median_top1_abs_error,avg_top3_within_5,median_best_abs_error,ordered_ladder_median_abs_error,ordered_ladder_avg_within_5,regime_calibration_score
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,13.45125,100.0,1.569375,13.45125,50.0,48.764625
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,20.8675,100.0,1.569375,13.45125,50.0,47.652188
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,13.45125,100.0,1.569375,22.546875,25.0,38.650281
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,13.756875,100.0,1.569375,22.932916,25.0,38.546531
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,20.8675,100.0,1.569375,22.546875,25.0,37.537844
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.66,50.0,5.365412,12.66,39.285714,29.552
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.909375,50.0,5.365412,12.909375,28.571429,25.727188
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.909375,50.0,5.365412,12.909375,28.571429,25.727188
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.909375,50.0,5.365412,12.909375,28.571429,25.727188
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.909375,50.0,5.365412,12.909375,28.571429,25.727188
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,9.086875,39.285714,6.174062,9.086875,21.428571,20.623938
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,16.233125,33.333333,16.14625,16.233125,33.333333,19.363396
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,16.233125,33.333333,16.14625,16.233125,33.333333,19.363396
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6.0,15.344688,41.666667,7.209877,15.344688,20.833333,19.071594
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,22.379375,33.333333,16.14625,16.14625,33.333333,18.45449
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,19.72234,40.0,7.3175,19.72234,21.0,18.433298
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,19.72234,39.0,7.3175,19.72234,22.0,18.433298
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30.0,15.314378,38.333333,6.284375,14.814062,17.5,18.022401
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,19.72234,40.0,7.3175,19.55375,19.0,17.758586
