cluster_rank,level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,candidate_method,cluster_raw_id,cluster_candidate_count,cluster_min,cluster_max,cluster_mid,cluster_mean,cluster_median,cluster_width,cluster_score,score_mean,score_sum,rank_weight_sum,best_candidate_rank_in_cluster,actual_published_level,cluster_mid_signed_error,cluster_mid_abs_error,cluster_mean_abs_error,cluster_median_abs_error,cluster_contains_actual,cluster_mid_within_3,cluster_mid_within_5,cluster_band_plus_3_contains_actual,cluster_band_plus_5_contains_actual,candidate_anchor_keys,candidate_prices,candidate_ranks
1,2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3884.8525,3884.8525,3884.8525,3884.8525,3884.8525,0.0,84.75125,91.8125,91.8125,1.0,1,3867.44,-17.4125,17.4125,17.4125,17.4125,False,False,False,False,False,prior_range_fraction::prev_range_0.75,3884.852500,1
1,2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3871.403333,3871.403333,3871.403333,3871.403333,3871.403333,0.0,77.0155,78.475,78.475,1.0,1,3849.38,-22.023333,22.023333,22.023333,22.023333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,3871.403333,1
1,2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3871.3175,3871.3175,3871.3175,3871.3175,3871.3175,0.0,86.27375,94.4375,94.4375,1.0,1,3832.79,-38.5275,38.5275,38.5275,38.5275,False,False,False,False,False,green_box_midline::green_mid_1,3871.317500,1
1,2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3850.32625,3850.32625,3850.32625,3850.32625,3850.32625,0.0,86.168625,94.25625,94.25625,1.0,1,3817.0,-33.32625,33.32625,33.32625,33.32625,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3850.326250,1
1,2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3877.3225,3877.3225,3877.3225,3877.3225,3877.3225,0.0,83.01125,88.8125,88.8125,1.0,1,3854.23,-23.0925,23.0925,23.0925,23.0925,False,False,False,False,False,prior_range_fraction::prev_range_0.75,3877.322500,1
1,2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3857.423333,3857.423333,3857.423333,3857.423333,3857.423333,0.0,75.2755,75.475,75.475,1.0,1,3833.88,-23.543333,23.543333,23.543333,23.543333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,3857.423333,1
1,2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3846.2075,3846.2075,3846.2075,3846.2075,3846.2075,0.0,84.53375,91.4375,91.4375,1.0,1,3813.75,-32.4575,32.4575,32.4575,32.4575,False,False,False,False,False,green_box_midline::green_mid_1,3846.207500,1
1,2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3829.61125,3829.61125,3829.61125,3829.61125,3829.61125,0.0,84.428625,91.25625,91.25625,1.0,1,3794.9,-34.71125,34.71125,34.71125,34.71125,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3829.611250,1
1,2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_ONLY,1,1,3855.929982,3855.929982,3855.929982,3855.929982,3855.929982,0.0,84.980813,92.208298,92.208298,1.0,1,3872.61,16.680018,16.680018,16.680018,16.680018,False,False,False,False,False,prior_range_fraction::prev_range_0.333333,3855.929982,1
1,2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_ONLY,1,1,3839.41375,3839.41375,3839.41375,3839.41375,3839.41375,0.0,83.777938,90.134375,90.134375,1.0,1,3851.28,11.86625,11.86625,11.86625,11.86625,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3839.413750,1
