cluster_rank,level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,candidate_method,cluster_raw_id,cluster_candidate_count,cluster_min,cluster_max,cluster_mid,cluster_mean,cluster_median,cluster_width,cluster_score,score_mean,score_sum,rank_weight_sum,best_candidate_rank_in_cluster,actual_published_level,cluster_mid_signed_error,cluster_mid_abs_error,cluster_mean_abs_error,cluster_median_abs_error,cluster_contains_actual,cluster_mid_within_3,cluster_mid_within_5,cluster_band_plus_3_contains_actual,cluster_band_plus_5_contains_actual,candidate_anchor_keys,candidate_prices,candidate_ranks
1,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,2,4057.536696,4058.035,4057.785848,4057.785848,4057.785848,0.498304,87.633128,91.50282,183.005641,1.25,1,4071.63,13.844152,13.844152,13.844152,13.844152,False,False,False,False,False,prior_range_fraction::prev_range_0.666667 | green_box_edge::green_edge_1,4057.536696 | 4058.035000,1 | 4
2,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4072.66125,4072.66125,4072.66125,4072.66125,4072.66125,0.0,80.569046,91.498355,91.498355,0.5,2,4071.63,-1.03125,1.03125,1.03125,1.03125,False,True,True,True,True,green_box_quarter::green_box_2_25pct,4072.661250,2
3,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,4116.54,4116.54,4116.54,4116.54,4116.54,0.0,78.645219,90.480263,90.480263,0.333333,3,4071.63,-44.91,44.91,44.91,44.91,False,False,False,False,False,green_box_edge::green_edge_2,4116.540000,3
4,2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,1,4034.206667,4034.206667,4034.206667,4034.206667,4034.206667,0.0,76.37022,88.396931,88.396931,0.2,5,4071.63,37.423333,37.423333,37.423333,37.423333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,4034.206667,5
1,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,1,4013.40875,4013.40875,4013.40875,4013.40875,4013.40875,0.0,85.180478,92.552549,92.552549,1.0,1,4039.56,26.15125,26.15125,26.15125,26.15125,False,False,False,False,False,red_box_quarter::red_box_2_25pct,4013.408750,1
2,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,1,3998.7825,3998.7825,3998.7825,3998.7825,3998.7825,0.0,80.846072,91.975987,91.975987,0.5,2,4039.56,40.7775,40.7775,40.7775,40.7775,False,False,False,False,False,red_box_midline::red_mid_2,3998.782500,2
3,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,5,1,4064.7875,4064.7875,4064.7875,4064.7875,4064.7875,0.0,79.354002,91.702303,91.702303,0.333333,3,4039.56,-25.2275,25.2275,25.2275,25.2275,False,False,False,False,False,prior_range_fraction::prev_range_0.75,4064.787500,3
4,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4028.035,4028.035,4028.035,4028.035,4028.035,0.0,78.339527,91.102632,91.102632,0.25,4,4039.56,11.525,11.525,11.525,11.525,False,False,False,False,False,red_box_edge::red_edge_1,4028.035000,4
5,2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,4057.2875,4057.2875,4057.2875,4057.2875,4057.2875,0.0,77.869507,90.981908,90.981908,0.2,5,4039.56,-17.7275,17.7275,17.7275,17.7275,False,False,False,False,False,red_box_midline::red_mid_1,4057.287500,5
1,2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,2,4010.40625,4014.15625,4012.28125,4012.28125,4012.28125,3.75,85.765945,92.067722,184.135444,1.333333,1,4005.44,-6.84125,6.84125,6.84125,6.84125,False,False,False,False,True,prior_range_fraction::prev_range_0.125 | green_box_quarter::green_box_1_25pct,4010.406250 | 4014.156250,3 | 1
2,2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,1,4021.2825,4021.2825,4021.2825,4021.2825,4021.2825,0.0,80.868586,92.014803,92.014803,0.5,2,4005.44,-15.8425,15.8425,15.8425,15.8425,False,False,False,False,False,prior_range_fraction::prev_range_0.25,4021.282500,2
3,2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,4034.206667,4034.206667,4034.206667,4034.206667,4034.206667,0.0,78.26372,90.971931,90.971931,0.25,4,4005.44,-28.766667,28.766667,28.766667,28.766667,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,4034.206667,4
4,2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,4028.035,4028.035,4028.035,4028.035,4028.035,0.0,77.256882,89.925658,89.925658,0.2,5,4005.44,-22.595,22.595,22.595,22.595,False,False,False,False,False,red_box_edge::red_edge_1,4028.035000,5
1,2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,2,1,3954.90375,3954.90375,3954.90375,3954.90375,3954.90375,0.0,84.666494,91.666369,91.666369,1.0,1,3967.25,12.34625,12.34625,12.34625,12.34625,False,False,False,False,False,red_box_quarter::red_box_3_25pct,3954.903750,1
2,2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,5,1,4010.40625,4010.40625,4010.40625,4010.40625,4010.40625,0.0,79.32208,89.348413,89.348413,0.5,2,3967.25,-43.15625,43.15625,43.15625,43.15625,False,False,False,False,False,prior_range_fraction::prev_range_0.125,4010.406250,2
3,2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,1,1,3911.025,3911.025,3911.025,3911.025,3911.025,0.0,64.755597,66.532639,66.532639,0.333333,3,3967.25,56.225,56.225,56.225,56.225,False,False,False,False,False,red_box_edge::red_edge_3,3911.025000,3
4,2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,3,1,3984.15625,3984.15625,3984.15625,3984.15625,3984.15625,0.0,56.754577,53.887202,53.887202,0.25,4,3967.25,-16.90625,16.90625,16.90625,16.90625,False,False,False,False,False,red_box_quarter::red_box_2_75pct,3984.156250,4
5,2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS,4,1,3999.53,3999.53,3999.53,3999.53,3999.53,0.0,54.484825,50.663492,50.663492,0.2,5,3967.25,-32.28,32.28,32.28,32.28,False,False,False,False,False,prior_hlc::previous_low,3999.530000,5
