ordered_ladder_available,ordered_ladder_valid,ordered_combo_score,L4_cluster_rank,L4_cluster_mid,L4_cluster_min,L4_cluster_max,L4_cluster_width,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L5_cluster_rank,L5_cluster_mid,L5_cluster_min,L5_cluster_max,L5_cluster_width,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L6_cluster_rank,L6_cluster_mid,L6_cluster_min,L6_cluster_max,L6_cluster_width,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L7_cluster_rank,L7_cluster_mid,L7_cluster_min,L7_cluster_max,L7_cluster_width,L7_actual,L7_abs_error,L7_within_3,L7_within_5,ordered_ladder_median_abs_error,ordered_ladder_mean_abs_error,ordered_ladder_pct_within_3,ordered_ladder_pct_within_5,ordered_ladder_total_width,ordered_ladder_mean_rank,level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,candidate_method
True,True,334.209125,1.0,3884.8525,3884.8525,3884.8525,0.0,3867.44,17.4125,False,False,1.0,3871.403333,3871.403333,3871.403333,0.0,3849.38,22.023333,False,False,1.0,3871.3175,3871.3175,3871.3175,0.0,3832.79,38.5275,False,False,1.0,3850.32625,3850.32625,3850.32625,0.0,3817.0,33.32625,False,False,27.674792,27.822396,0.0,0.0,0.0,1.0,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL
True,True,327.249125,1.0,3877.3225,3877.3225,3877.3225,0.0,3854.23,23.0925,False,False,1.0,3857.423333,3857.423333,3857.423333,0.0,3833.88,23.543333,False,False,1.0,3846.2075,3846.2075,3846.2075,0.0,3813.75,32.4575,False,False,1.0,3829.61125,3829.61125,3829.61125,0.0,3794.9,34.71125,False,False,28.000417,28.451146,0.0,0.0,0.0,1.0,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY
True,True,328.633251,1.0,3855.929982,3855.929982,3855.929982,0.0,3872.61,16.680018,False,False,1.0,3839.41375,3839.41375,3839.41375,0.0,3851.28,11.86625,False,False,1.0,3818.51125,3818.51125,3818.51125,0.0,3830.61,12.09875,False,False,1.0,3797.60875,3797.60875,3797.60875,0.0,3810.83,13.22125,False,False,12.66,13.466567,0.0,0.0,0.0,1.0,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_ONLY
True,True,323.769125,1.0,3948.6225,3948.6225,3948.6225,0.0,3964.13,15.5075,False,False,1.0,3938.47,3938.47,3938.47,0.0,3946.24,7.77,False,False,1.0,3913.2875,3913.2875,3913.2875,0.0,3927.93,14.6425,False,False,1.0,3897.74625,3897.74625,3897.74625,0.0,3710.52,187.22625,False,False,15.075,56.286563,0.0,0.0,0.0,1.0,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_CLOSE
True,True,329.178833,1.0,3972.06,3972.06,3972.06,0.0,3970.41,1.65,True,True,1.0,3953.365,3953.365,3953.365,0.0,3949.74,3.625,False,True,1.0,3930.865,3930.865,3930.865,0.0,3929.69,1.175,True,True,1.0,3910.8,3910.8,3910.8,0.0,3910.27,0.53,True,True,1.4125,1.745,75.0,100.0,0.0,1.0,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_CLOSE_ROWS
True,True,252.880437,1.0,4041.38,4041.38,4041.38,0.0,4038.76,2.62,True,True,1.0,4040.21,4040.21,4040.21,0.0,4019.13,21.08,False,False,1.0,4023.035,4023.035,4023.035,0.0,4001.52,21.515,False,False,1.0,3847.56,3847.56,3847.56,0.0,3985.35,137.79,False,False,21.2975,45.75125,25.0,25.0,0.0,1.0,2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_CLOSE_ROWS
True,True,339.733625,1.0,4029.7025,4029.7025,4029.7025,0.0,3999.31,30.3925,False,False,1.0,4004.30875,4004.30875,4004.30875,0.0,3980.31,23.99875,False,False,1.0,3973.1275,3973.1275,3973.1275,0.0,3961.97,11.1575,False,False,1.0,3944.84,3944.84,3944.84,0.0,3943.24,1.6,True,True,17.578125,16.787187,25.0,25.0,0.0,1.0,2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY
True,True,322.029125,1.0,4003.8475,4003.8475,4003.8475,0.0,4010.88,7.0325,False,False,1.0,3994.056667,3994.056667,3994.056667,0.0,3994.06,0.003333,True,True,1.0,3973.4025,3973.4025,3973.4025,0.0,3974.97,1.5675,True,True,1.0,3956.63875,3956.63875,3956.63875,0.0,3956.47,0.16875,True,True,0.868125,2.193021,75.0,75.0,0.0,1.0,2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,340.76255,1.0,4086.7525,4086.7525,4086.7525,0.0,4108.96,22.2075,False,False,1.0,4060.36875,4060.36875,4060.36875,0.0,4093.64,33.27125,False,False,1.0,4042.19874,4042.19874,4042.19874,0.0,4078.18,35.98126,False,False,1.0,4011.08375,4011.08375,4011.08375,0.0,4061.81,50.72625,False,False,34.626255,35.546565,0.0,0.0,0.0,1.0,2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_CLOSE_ONLY
True,True,271.922562,1.0,4142.14,4142.14,4142.14,0.0,4150.06,7.92,False,False,1.0,4105.3525,4105.3525,4105.3525,0.0,4135.03,29.6775,False,False,1.0,4090.265,4090.265,4090.265,0.0,4119.47,29.205,False,False,1.0,4060.44,4060.44,4060.44,0.0,4105.05,44.61,False,False,29.44125,27.853125,0.0,0.0,0.0,1.0,2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,340.388477,1.0,4204.8775,4204.8775,4204.8775,0.0,4201.69,3.1875,False,True,1.0,4189.07,4189.07,4189.07,0.0,4189.9,0.83,True,True,1.0,4169.03264,4167.665,4170.40028,2.73528,4177.27,8.23736,False,False,1.0,4150.79,4150.4725,4151.1075,0.635,4162.99,12.2,False,False,5.71243,6.113715,25.0,50.0,3.37028,1.0,2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,308.587624,1.0,4320.4125,4320.4125,4320.4125,0.0,4305.21,15.2025,False,False,1.0,4300.32875,4300.32875,4300.32875,0.0,4289.52,10.80875,False,False,1.0,4290.4125,4290.4125,4290.4125,0.0,4275.71,14.7025,False,False,1.0,4270.32875,4270.32875,4270.32875,0.0,4263.05,7.27875,False,False,12.755625,11.998125,0.0,0.0,0.0,1.0,2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,REGIME_RANGE_CLOSE
True,True,325.41105,1.0,4353.7725,4353.7725,4353.7725,0.0,4286.39,67.3825,False,False,1.0,4324.815625,4323.7725,4325.85875,2.08625,4249.57,75.245625,False,False,1.0,4323.7725,4323.7725,4323.7725,0.0,4218.98,104.7925,False,False,1.0,4295.85875,4295.85875,4295.85875,0.0,4188.96,106.89875,False,False,90.019063,88.579844,0.0,0.0,2.08625,1.0,2025-10-20,2025-10-17,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY
True,True,269.275278,1.0,4339.28,4339.28,4339.28,0.0,4336.24,3.04,False,True,1.0,4333.31,4333.31,4333.31,0.0,4302.55,30.76,False,False,1.0,4315.25,4315.25,4315.25,0.0,4275.67,39.58,False,False,1.0,4300.25,4300.25,4300.25,0.0,4241.47,58.78,False,False,35.17,33.04,0.0,25.0,0.0,1.0,2025-10-21,2025-10-20,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,REGIME_RANGE_CLOSE_ROWS
True,True,333.712501,1.0,4203.52875,4203.52875,4203.52875,0.0,4243.57,40.04125,False,False,1.0,4163.1525,4163.1525,4163.1525,0.0,4216.07,52.9175,False,False,1.0,4122.77625,4122.77625,4122.77625,0.0,4182.91,60.13375,False,False,1.0,4082.4,4082.4,4082.4,0.0,4144.81,62.41,False,False,56.525625,53.875625,0.0,0.0,0.0,1.0,2025-10-22,2025-10-21,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,REGIME_CLOSE_ONLY
True,True,269.190614,1.0,4082.975,4082.975,4082.975,0.0,4177.89,94.915,False,False,1.0,4056.869948,4056.869948,4056.869948,0.0,4147.32,90.450052,False,False,1.0,4027.98875,4027.98875,4027.98875,0.0,4104.93,76.94125,False,False,1.0,4004.66,4004.66,4004.66,0.0,4068.85,64.19,False,False,83.695651,81.624075,0.0,0.0,0.0,1.0,2025-10-23,2025-10-22,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,334.470214,1.0,4139.91125,4139.91125,4139.91125,0.0,4171.67,31.75875,False,False,1.0,4115.61,4115.61,4115.61,0.0,4135.65,20.04,False,False,1.0,4110.25375,4110.25375,4110.25375,0.0,4099.72,10.53375,False,False,1.0,4078.8925,4077.18875,4080.59625,3.4075,4061.44,17.4525,False,False,18.74625,19.94625,0.0,0.0,3.4075,1.0,2025-10-24,2025-10-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,338.317479,1.0,4158.24375,4158.24375,4158.24375,0.0,4166.24,7.99625,False,False,1.0,4100.403333,4100.403333,4100.403333,0.0,4129.36,28.956667,False,False,1.0,4082.6691,4082.6691,4082.6691,0.0,4091.91,9.2409,False,False,1.0,4056.95625,4056.95625,4056.95625,0.0,4056.5,0.45625,True,True,8.618575,11.662517,25.0,25.0,0.0,1.0,2025-10-27,2025-10-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_CLOSE_ROWS
True,True,319.49154,1.0,4097.3,4097.3,4097.3,0.0,4133.51,36.21,False,False,1.0,4067.3,4067.3,4067.3,0.0,4092.09,24.79,False,False,2.0,4017.449954,4017.449954,4017.449954,0.0,4059.5,42.050046,False,False,2.0,3992.525,3992.525,3992.525,0.0,4025.25,32.725,False,False,34.4675,33.943762,0.0,0.0,0.0,1.5,2025-10-28,2025-10-27,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,REGIME_RANGE_ONLY
