level_date,level_name,published_rank_low_to_high,published_rank_high_to_low,published_level,formula_source,formula_anchor_family,formula_anchor_name,formula_candidate_score,reconstructed_level,signed_reconstruction_error,abs_reconstruction_error,reconstruction_within_3,reconstruction_within_5,nearest_anchor_family,nearest_anchor_name,nearest_anchor_abs_distance
2025-10-01,L10,1,10,3740.83,level_name,red_box_midline,red_mid_4,81.46875,3681.775,59.055,59.055,False,False,red_box_midline,red_mid_3,4.785
2025-10-01,L9,2,9,3762.36,level_name,red_box_quarter,red_box_4_25pct,70.301562,3695.3425,67.0175,67.0175,False,False,red_box_edge,red_edge_2,0.82
2025-10-01,L8,3,8,3784.19,level_name,prior_range_fraction,prev_range_0.25,80.7125,3812.815,-28.625,28.625,False,False,red_box_midline,red_mid_2,6.125
2025-10-01,L7,4,7,3803.98,level_name,red_box_quarter,red_box_2_25pct,94.43125,3803.8825,0.0975,0.0975,True,True,red_box_quarter,red_box_2_25pct,0.0975
2025-10-01,L6,5,6,3820.29,level_name,prior_hlc,previous_pivot_hlc3,92.570834,3841.06,-20.77,20.77,False,False,green_box_midline,green_mid_1,0.025
2025-10-01,L5,6,5,3838.65,level_name,green_box_edge,green_edge_1,94.7375,3847.45,-8.8,8.8,False,False,prior_hlc,previous_pivot_hlc3,2.41
2025-10-01,L4,7,4,3853.16,level_name,green_box_edge,green_edge_1,95.25,3847.45,5.71,5.71,False,False,prior_range_fraction,prev_range_0.75,1.075
2025-10-01,L3,8,3,3869.29,level_name,prior_range_fraction,prev_range_0.875,85.240625,3861.9025,7.3875,7.3875,False,False,prior_hlc,previous_high,2.43
2025-10-01,L2,9,2,3883.9,level_name,prior_range_fraction,prev_range_0.875,91.7625,3861.9025,21.9975,21.9975,False,False,green_box_quarter,green_box_2_75pct,4.2525
2025-10-01,L1,10,1,3901.14,level_name,green_box_quarter,green_box_2_75pct,74.274816,3888.1525,12.9875,12.9875,False,False,green_box_edge,green_edge_2,0.58
2025-10-02,L10,1,10,3762.36,level_name,red_box_midline,red_mid_4,81.46875,3769.2475,-6.8875,6.8875,False,False,red_box_quarter,red_box_4_75pct,2.12125
2025-10-02,L9,2,9,3780.91,level_name,red_box_quarter,red_box_4_25pct,70.301562,3778.25625,2.65375,2.65375,True,True,red_box_quarter,red_box_4_25pct,2.65375
2025-10-02,L8,3,8,3799.0,level_name,prior_range_fraction,prev_range_0.25,80.7125,3863.8175,-64.8175,64.8175,False,False,red_box_quarter,red_box_3_75pct,2.72625
