level_name,selected_mode,route_source,prediction_count,top1_pct_within_3,top1_pct_within_5,top1_median_abs_error,median_confidence_score
L4,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_BROAD,2.0,0.0,50.0,11.628125,49.04473
L4,MODE_E_SPACING_PRESERVATION,REGIME_LEVEL_EXACT,10.0,0.0,20.0,16.13125,59.723338
L4,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,54.0,11.111111,18.518519,16.64625,31.663342
L4,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_EXACT,16.0,6.25,12.5,15.248125,45.667562
L4,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,9.0,11.111111,11.111111,10.10125,39.323042
L4,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,28.0,7.142857,10.714286,14.04728,44.1006
L4,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,62.0,4.83871,9.677419,30.82375,62.294064
L4,MODE_E_SPACING_PRESERVATION,REGIME_LEVEL_BROAD,2.0,0.0,0.0,46.54625,64.743393
L4,MODE_D_NEAREST_VALID_LADDER,LEVEL_ONLY,3.0,0.0,0.0,11.500018,59.973278
L4,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,3.0,0.0,0.0,22.24125,35.919264
L4,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,0.0,17.4125,0.0
L5,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,8.0,0.0,25.0,12.7825,33.448374
L5,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,81.0,8.641975,22.222222,16.91469,47.243167
L5,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,31.0,12.903226,16.129032,21.8,45.120417
L5,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,38.0,13.157895,15.789474,15.153324,62.262776
L5,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,LEVEL_ONLY,26.0,11.538462,15.384615,35.69375,62.993338
L5,MODE_D_NEAREST_VALID_LADDER,LEVEL_ONLY,1.0,0.0,0.0,128.4725,61.844051
L5,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,4.0,0.0,0.0,16.495424,41.939814
L5,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,0.0,22.023333,0.0
L6,MODE_C_BALANCED,REGIME_LEVEL_BROAD,5.0,20.0,20.0,28.82625,40.312208
L6,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,59.0,13.559322,15.254237,15.846645,40.723152
L6,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,34.0,8.823529,14.705882,13.504375,60.324908
L6,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,28.0,14.285714,14.285714,20.15125,45.164042
L6,MODE_D_NEAREST_VALID_LADDER,LEVEL_ONLY,31.0,9.677419,9.677419,25.305,61.723054
L6,MODE_C_BALANCED,REGIME_LEVEL_EXACT,11.0,9.090909,9.090909,15.8425,37.04997
L6,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,19.0,5.263158,5.263158,23.2175,45.621259
L6,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,2.0,0.0,0.0,28.72375,53.454761
L6,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,0.0,38.5275,0.0
L7,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_BROAD,1.0,0.0,100.0,4.66125,16.841042
L7,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,28.0,25.0,25.0,28.31625,30.31225
L7,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_EXACT,8.0,12.5,25.0,29.623125,13.559298
L7,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,LEVEL_ONLY,18.0,22.222222,22.222222,25.9,59.175738
L7,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,14.0,7.142857,14.285714,39.774375,23.18395
L7,MODE_C_BALANCED,LEVEL_ONLY,33.0,12.121212,12.121212,24.115,57.705409
L7,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,42.0,7.142857,11.904762,22.615,46.26522
L7,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,18.0,11.111111,11.111111,25.465,32.075403
L7,MODE_C_BALANCED,REGIME_LEVEL_EXACT,10.0,0.0,0.0,17.925,57.46575
L7,MODE_C_BALANCED,REGIME_LEVEL_BROAD,3.0,0.0,0.0,38.7025,54.580411
L7,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_BROAD,13.0,0.0,0.0,26.5225,51.846667
L7,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,0.0,33.32625,0.0
