range_bucket,close_position_bucket,rows_bucket,date_count,median_top1_abs_error,avg_top3_within_5,median_best_abs_error,ordered_ladder_median_abs_error,ordered_ladder_avg_within_5,avg_confidence_score,router_regime_score
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1.0,13.45125,100.0,1.569375,13.45125,50.0,22.743164,47.548662
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7.0,12.66,50.0,5.365412,12.66,28.571429,43.051323,27.935556
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,16.233125,33.333333,16.14625,16.233125,33.333333,49.361822,23.345992
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6.0,15.693125,41.666667,7.209877,15.693125,16.666667,52.788366,22.744974
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,58.493464,22.264645
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,19.72234,40.0,7.3175,19.72234,21.0,44.998736,21.069225
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30.0,15.423128,36.666667,6.284375,15.423128,17.5,48.917343,20.690153
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6.0,12.719688,30.555556,8.5025,12.29375,25.0,37.26305,19.396574
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,15.292489,39.285714,6.174062,15.292489,10.714286,42.061952,18.914742
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,20.597187,33.928571,5.456875,20.6425,17.857143,42.653053,17.583416
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,14.155,18.75,12.71904,14.155,6.25,62.098603,13.90104
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,36.377812,31.25,13.812188,52.252188,18.75,57.354578,13.546296
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,50.014911,12.479318
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,53.753236,11.964586
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,22.836875,23.076923,9.575625,22.836875,13.461538,36.094869,11.147319
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,24.64,16.666667,20.705625,24.64,8.333333,61.460971,10.975812
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,23.959062,12.5,13.851875,26.468438,12.5,51.607769,9.000462
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,28.265781,18.75,16.26698,28.265781,9.375,29.954916,6.333042
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,35.22,15.0,23.21375,35.22,10.0,45.785477,5.812822
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,34.88875,19.230769,11.521667,26.815439,7.692308,22.76784,4.154166
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,59.006548,1.729732
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3.0,51.041285,8.333333,36.82316,51.041285,8.333333,61.328075,1.43889
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,25.39821,0.0,51.35178,1.353214
RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,1.0,36.0175,0.0,28.4025,28.4025,0.0,63.039921,1.213113
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4.0,62.93375,12.5,52.535625,62.93375,6.25,60.819978,-0.672941
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,1.0,47.898333,0.0,8.901703,47.898333,0.0,61.622025,-2.73128
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,5.0,61.37,10.0,17.022545,61.37,5.0,45.201013,-3.812348
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,3.0,66.3375,8.333333,51.3375,71.525625,8.333333,49.910753,-4.616575
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,0.0,-6.918698
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,1.0,70.58,0.0,70.58,70.58,0.0,59.935117,-8.654732
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,2.0,67.572812,0.0,67.572812,67.572812,0.0,53.316904,-8.895668
RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,2.0,128.9875,0.0,128.9875,128.9875,0.0,62.027406,-22.942764
