level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason
2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L4
2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L5
2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L6
2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,1.0,0.0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L7
2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,1.0,0.0,0.0,17.4125,-12.709375,12.4315,LEVEL_ONLY: fallback below minimum sample threshold for L4
2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,1.0,0.0,0.0,22.023333,-16.1675,10.7716,LEVEL_ONLY: fallback below minimum sample threshold for L5
2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,1.0,0.0,0.0,38.5275,-28.545625,5.0,LEVEL_ONLY: fallback below minimum sample threshold for L6
2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,1.0,0.0,0.0,33.32625,-24.644688,6.70255,LEVEL_ONLY: fallback below minimum sample threshold for L7
2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,2.0,0.0,0.0,20.2525,-14.489375,12.1091,LEVEL_ONLY: fallback below minimum sample threshold for L4
2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,2.0,0.0,0.0,22.783333,-16.3875,11.198,LEVEL_ONLY: fallback below minimum sample threshold for L5
2025-10-06,2025-10-03,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,2.0,0.0,0.0,35.4925,-25.919375,6.6227,LEVEL_ONLY: fallback below minimum sample threshold for L6
2025-10-06,2025-10-03,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,2.0,0.0,0.0,34.01875,-24.814062,7.15325,LEVEL_ONLY: fallback below minimum sample threshold for L7
2025-10-07,2025-10-06,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,3.0,0.0,0.0,17.4125,-12.009375,13.8315,LEVEL_ONLY: fallback below minimum sample threshold for L4
2025-10-07,2025-10-06,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,3.0,0.0,0.0,22.023333,-15.4675,12.1716,LEVEL_ONLY: fallback below minimum sample threshold for L5
2025-10-07,2025-10-06,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,3.0,0.0,0.0,32.4575,-23.293125,8.4153,LEVEL_ONLY: fallback below minimum sample threshold for L6
2025-10-07,2025-10-06,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,3.0,0.0,0.0,33.32625,-23.944688,8.10255,LEVEL_ONLY: fallback below minimum sample threshold for L7
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,16.680018,-12.160014,12.695194,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L4
2025-10-08,2025-10-07,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,11.86625,-8.549688,14.42815,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L5
2025-10-08,2025-10-07,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,12.09875,-8.724062,14.34445,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L6
2025-10-08,2025-10-07,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,13.22125,-9.565938,13.94035,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L7
2025-10-09,2025-10-08,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,15.5075,-11.280625,13.1173,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L4
2025-10-09,2025-10-08,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,7.77,-5.4775,15.9028,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L5
2025-10-09,2025-10-08,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,14.6425,-10.631875,13.4287,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L6
2025-10-09,2025-10-08,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,187.22625,-140.069688,5.0,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L7
2025-10-10,2025-10-09,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,6.0,33.333333,33.333333,16.093759,13.363014,23.406247,LEVEL_ONLY: fallback below minimum sample threshold for L4
2025-10-10,2025-10-09,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,6.0,0.0,16.666667,16.473125,-3.254844,19.769675,LEVEL_ONLY: fallback below minimum sample threshold for L5
2025-10-10,2025-10-09,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,6.0,16.666667,16.666667,18.07875,0.207604,19.19165,LEVEL_ONLY: fallback below minimum sample threshold for L6
2025-10-10,2025-10-09,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,6.0,16.666667,16.666667,34.01875,-11.747396,13.45325,LEVEL_ONLY: fallback below minimum sample threshold for L7
2025-10-13,2025-10-10,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,1.0,2.0,50.0,50.0,9.06375,28.902188,26.63705,REGIME_LEVEL_BROAD: fallback below minimum sample threshold for L4
2025-10-13,2025-10-10,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,1.0,2.0,0.0,0.0,14.425,-10.11875,14.207,REGIME_LEVEL_BROAD: fallback below minimum sample threshold for L5
2025-10-13,2025-10-10,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,1.0,2.0,0.0,0.0,18.07875,-12.859062,12.89165,REGIME_LEVEL_BROAD: fallback below minimum sample threshold for L6
2025-10-13,2025-10-10,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,1.0,2.0,0.0,0.0,162.508125,-121.181094,5.0,REGIME_LEVEL_BROAD: fallback below minimum sample threshold for L7
2025-10-14,2025-10-13,L4,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,8.0,25.0,25.0,16.093759,8.229681,23.056247,LEVEL_ONLY: fallback below minimum sample threshold for L4
2025-10-14,2025-10-13,L5,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,8.0,12.5,25.0,16.473125,4.445156,22.919675,LEVEL_ONLY: fallback below minimum sample threshold for L5
2025-10-14,2025-10-13,L6,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,8.0,25.0,25.0,13.370625,10.272031,24.036575,LEVEL_ONLY: fallback below minimum sample threshold for L6
2025-10-14,2025-10-13,L7,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,1.0,8.0,37.5,37.5,23.27375,11.594688,23.09645,LEVEL_ONLY: fallback below minimum sample threshold for L7
2025-10-15,2025-10-14,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,23.0925,-16.969375,10.3867,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L4
2025-10-15,2025-10-14,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,1.0,1.0,0.0,0.0,23.543333,-17.3075,10.2244,REGIME_LEVEL_EXACT: fallback below minimum sample threshold for L5
