level_date,rolling_ordered_ladder_available,rolling_ordered_ladder_valid,rolling_ordered_ladder_median_abs_error,rolling_ordered_ladder_mean_abs_error,rolling_ordered_ladder_pct_within_3,rolling_ordered_ladder_pct_within_5,L4_rolling_price,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L4_source_family,L4_source_type,L5_rolling_price,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L5_source_family,L5_source_type,L6_rolling_price,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L6_source_family,L6_source_type,L7_rolling_price,L7_actual,L7_abs_error,L7_within_3,L7_within_5,L7_source_family,L7_source_type,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm
2025-10-02,True,True,27.674792,27.822396,0.0,0.0,3884.8525,3867.44,17.4125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3871.403333,3849.38,22.023333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3871.3175,3832.79,38.5275,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3850.32625,3817.0,33.32625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-03,True,True,28.000417,24.098021,0.0,0.0,3859.91,3854.23,5.68,False,False,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,3857.423333,3833.88,23.543333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3846.2075,3813.75,32.4575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3829.61125,3794.9,34.71125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-06,True,True,12.66,13.466567,0.0,0.0,3855.929982,3872.61,16.680018,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3839.41375,3851.28,11.86625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3818.51125,3830.61,12.09875,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3797.60875,3810.83,13.22125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-07,True,True,15.075,56.286563,0.0,0.0,3948.6225,3964.13,15.5075,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3938.47,3946.24,7.77,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3913.2875,3927.93,14.6425,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3897.74625,3710.52,187.22625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-08,True,True,0.8525,1.247994,100.0,100.0,3969.980629,3970.41,0.429371,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_mean,3946.882396,3949.74,2.857604,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_mean,3930.865,3929.69,1.175,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3910.8,3910.27,0.53,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-09,True,True,5.942917,36.848631,50.0,50.0,4039.386504,4038.76,0.626504,True,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_original_mean,4018.186667,4019.13,0.943333,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q25,3990.5775,4001.52,10.9425,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q25,3850.467813,3985.35,134.882187,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-10,True,True,0.766485,2.344336,75.0,75.0,3991.4675,3999.31,7.8425,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,3980.5775,3980.31,0.2675,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,3961.971875,3961.97,0.001875,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_mean,3944.505469,3943.24,1.265469,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_q75,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-13,True,True,0.13625,0.460833,100.0,100.0,4010.77625,4010.88,0.10375,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,3994.056667,3994.06,0.003333,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3973.4025,3974.97,1.5675,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,3956.63875,3956.47,0.16875,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-14,True,True,11.6425,15.512852,50.0,50.0,4108.275,4108.96,0.685,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q25,4095.546563,4093.64,1.906563,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q75,4056.801562,4078.18,21.378438,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,4023.728594,4061.81,38.081406,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_q75,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-15,True,True,12.20875,14.847442,25.0,25.0,4150.296017,4150.06,0.236017,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_mean,4117.21875,4135.03,17.81125,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q75,4112.86375,4119.47,6.60625,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_q75,4070.31375,4105.05,34.73625,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL
