rolling_oracle_source_family,rolling_oracle_source_type,oracle_win_count,rolling_oracle_pct_within_5,rolling_oracle_median_abs_error,rolling_recovered_within_5_pct,avg_prior_sample_count,avg_lookback_days
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_q75,9.0,100.0,1.173437,100.0,102.0,1.444444
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_q25,3.0,100.0,0.375,100.0,104.666667,1.666667
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_recent8_median,3.0,100.0,0.241984,100.0,8.0,1.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_recent12_median,3.0,100.0,0.34625,100.0,12.0,1.666667
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_recent20_median,2.0,100.0,0.164164,100.0,20.0,1.5
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_recent8_median,2.0,100.0,0.30087,100.0,5.0,21.5
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_recent5_median,2.0,100.0,0.417014,100.0,5.0,3.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_q75,1.0,100.0,0.600503,100.0,156.0,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_expanded_q25,1.0,100.0,0.359843,100.0,32.0,10.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_median,1.0,100.0,0.12377,100.0,16.0,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_q25,1.0,100.0,0.00125,100.0,15.0,11.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_recent8_median,1.0,100.0,0.38875,100.0,8.0,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_recent12_median,1.0,100.0,0.036131,100.0,12.0,36.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q75,1.0,100.0,1.2425,100.0,11.0,23.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent8_median,1.0,100.0,1.81,100.0,3.0,85.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_q75,1.0,100.0,0.07297,100.0,11.0,2.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_recent12_median,1.0,100.0,1.561337,100.0,12.0,6.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_q75,14.0,85.714286,0.761715,85.714286,38.857143,6.642857
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_recent8_median,6.0,83.333333,0.304182,83.333333,8.0,2.5
