selector_primary_feature,selector_pick_count,selector_pct_within_5,selector_median_abs_error,avg_primary_prior_w5,avg_primary_prior_n
level_range_close_family_type,132.0,38.636364,7.347086,40.974991,14.712121
level_regime_family_type,209.0,33.492823,8.0175,39.247318,11.253589
family,3.0,33.333333,76.94125,26.475301,60.0
level_source_family,17.0,29.411765,7.859688,45.526591,161.764706
level_rows_family,39.0,28.205128,13.0675,40.132886,622.282051
family_type,30.0,20.0,11.96417,32.444967,88.666667
level_family_residual,15.0,20.0,41.344375,34.66777,438.533333
level_range_close_family,57.0,19.298246,14.815082,52.650078,149.894737
level_family_type,232.0,16.37931,15.36704,36.611718,57.344828
global,16.0,12.5,13.931875,12.133866,26.0
range_close_family,5.0,0.0,30.58125,35.873218,259.2
NO_PRIOR_FEATURE,4.0,0.0,27.674792,22.646307,0.0
