level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,original_oracle_candidate_price,original_oracle_abs_error,original_oracle_mode,original_oracle_keys,superset_audited_source,rolling_candidate_price,rolling_source_family,rolling_source_type,rolling_adjustment,rolling_residual_col,rolling_prior_sample_count,rolling_min_source_date,rolling_max_source_date,rolling_lookback_days,rolling_same_day_leakage,rolling_future_leakage,rolling_date_safe,rolling_candidate_abs_error,rolling_candidate_within_3,rolling_candidate_within_5,rolling_candidate_status,rolling_candidate_score,level_date_dt,prev_date_dt,rolling_max_source_date_dt,rolling_min_source_date_dt,selector_calibrated_score,selector_learned_score,selector_static_score,selector_total_feature_weight,selector_primary_feature,selector_primary_key,selector_primary_prior_sample_count,selector_primary_prior_within_5_pct,selector_primary_prior_mean_error,selector_max_performance_date,selector_primary_max_performance_date,selector_performance_lookback_days,selector_date_safe,selector_feature_count_used
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4077.39,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_median,4.72875,original_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,5.76,False,False,ROLLING_WITHIN_10,146.7317,2026-06-30,2026-06-29,2026-06-04,2025-10-10,32.128755,19.382918,11.745837,14.98,level_rows_family,lvl=L4|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,4464,24.235503,16.195424,2026-06-29,2026-06-29,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4077.39,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_recent20_median,4.72875,original_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,5.76,False,False,ROLLING_WITHIN_10,146.7317,2026-06-30,2026-06-29,2026-06-04,2025-10-10,32.123757,19.37792,11.745837,14.98,level_rows_family,lvl=L4|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,4464,24.235503,16.195424,2026-06-29,2026-06-29,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_median,5.95748,superset_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,35.469757,22.783882,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=superset_base_range_close_superset_median,11,30.587919,13.726359,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_median,5.95748,superset_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,34.086155,21.40028,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=original_base_range_close_superset_median,11,30.587919,14.537249,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent20_median,5.95748,superset_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,35.361419,22.675544,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=superset_base_range_close_superset_recent20_median,11,30.587919,13.726359,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_recent20_median,5.95748,superset_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,33.991881,21.306006,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=original_base_range_close_superset_recent20_median,11,30.587919,14.537249,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_median,5.95748,expanded_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,31.182027,18.496152,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=superset_base_range_close_expanded_median,11,30.587919,13.920138,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4078.61873,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_recent20_median,5.95748,expanded_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,6.98873,False,False,ROLLING_WITHIN_10,146.633402,2026-06-30,2026-06-29,2026-06-04,2025-10-10,31.039969,18.354094,11.685875,14.98,level_regime_family_type,lvl=L4|rb=RANGE_NORMAL_60_120|cp=CLOSE_POS_LOWER_THIRD|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL|type=superset_base_range_close_expanded_recent20_median,11,30.587919,13.920138,2026-06-29,2026-06-03,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4077.39,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_median,4.72875,original_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,5.76,False,False,ROLLING_WITHIN_10,145.9817,2026-06-30,2026-06-29,2026-06-04,2025-10-10,31.062071,18.361234,11.700837,14.98,level_rows_family,lvl=L4|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,4464,24.235503,16.195424,2026-06-29,2026-06-29,1,True,13
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,4077.39,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_recent20_median,4.72875,original_residual,19.0,2025-10-10,2026-06-04,26.0,False,False,True,5.76,False,False,ROLLING_WITHIN_10,145.9817,2026-06-30,2026-06-29,2026-06-04,2025-10-10,31.06867,18.367833,11.700837,14.98,level_rows_family,lvl=L4|rows=ROWS_STANDARD_9_10|fam=ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,4464,24.235503,16.195424,2026-06-29,2026-06-29,1,True,13
