level_date,ladder_selector_available,ladder_selector_valid,ladder_selector_score,L4_ladder_price,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L4_source_family,L4_source_type,L4_selector_score,L5_ladder_price,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L5_source_family,L5_source_type,L5_selector_score,L6_ladder_price,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L6_source_family,L6_source_type,L6_selector_score,L7_ladder_price,L7_actual,L7_abs_error,L7_within_3,L7_within_5,L7_source_family,L7_source_type,L7_selector_score,ladder_selector_median_abs_error,ladder_selector_mean_abs_error,ladder_selector_pct_within_3,ladder_selector_pct_within_5,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm
2025-10-02,True,True,174.126876,3884.8525,3867.44,17.4125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,3871.403333,3849.38,22.023333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,3871.3175,3832.79,38.5275,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,3850.32625,3817.0,33.32625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,27.674792,27.822396,0.0,0.0,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-03,True,True,26.619758,3859.91,3854.23,5.68,False,False,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,-13.397298,3857.423333,3833.88,23.543333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,3846.2075,3813.75,32.4575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,3829.61125,3794.9,34.71125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,28.000417,24.098021,0.0,0.0,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-06,True,True,13.95714,3855.929982,3872.61,16.680018,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,3839.41375,3851.28,11.86625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,3818.51125,3830.61,12.09875,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,3797.60875,3810.83,13.22125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,12.66,13.466567,0.0,0.0,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-07,True,True,25.125468,3948.6225,3964.13,15.5075,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,3938.47,3946.24,7.77,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,3913.2875,3927.93,14.6425,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,3897.74625,3710.52,187.22625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,15.075,56.286563,0.0,0.0,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-08,True,True,-0.17227,3971.1075,3970.41,0.6975,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent8_median,-13.94659,3953.365,3949.74,3.625,False,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-11.057942,3920.685625,3929.69,9.004375,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,-13.556862,3910.8,3910.27,0.53,True,True,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-41.610876,2.16125,3.464219,50.0,75.0,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-09,True,True,256.148135,4039.73,4038.76,0.97,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent8_median,49.75816,4036.585,4019.13,17.455,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,73.196208,4021.86,4001.52,20.34,False,False,ROLLING_LEVEL_RESIDUAL,original_base_level_superset_recent12_median,15.900953,3850.384844,3985.35,134.965156,False,False,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q75,37.292814,18.8975,43.432539,25.0,25.0,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-10,True,False,-330.048506,3973.825,3999.31,25.485,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_recent12_median,81.796259,3984.490764,3980.31,4.180764,False,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_mean,30.13979,3973.1275,3961.97,11.1575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-0.326373,3941.680625,3943.24,1.559375,True,True,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,-50.014082,7.669132,10.59566,25.0,50.0,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-13,True,True,234.018654,4002.1975,4010.88,8.6825,False,False,ROLLING_LEVEL_RESIDUAL,original_base_level_superset_recent8_median,42.596667,3990.431667,3994.06,3.628333,False,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,45.403151,3962.245,3974.97,12.725,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_original_recent12_median,37.836394,3956.10875,3956.47,0.36125,True,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_recent12_median,28.182442,6.155416,6.349271,25.0,50.0,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-14,True,True,284.643546,4112.181245,4108.96,3.221245,False,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent8_median,49.694543,4082.620521,4093.64,11.019479,False,False,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_mean,52.024286,4045.618906,4078.18,32.561093,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent8_median,33.362659,4022.196563,4061.81,39.613437,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,69.562058,21.790286,21.603814,0.0,25.0,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL
2025-10-15,True,True,224.685548,4140.69,4150.06,9.37,False,False,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent12_median,39.311069,4105.355833,4135.03,29.674167,False,False,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_recent12_median,45.388711,4099.404688,4119.47,20.065312,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,27.174429,4060.27125,4105.05,44.77875,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,32.811339,24.86974,25.972057,0.0,0.0,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL
