range_bucket,close_position_bucket,rows_bucket,date_count,superset_audited_avg_within_5,rolling_oracle_avg_within_5,selector_avg_within_5,selector_recovered_within_5_pct,selector_median_abs_error,selector_regime_score
RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,1,100.0,100.0,75.0,0.0,2.6712499999999997,52.232875
RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,1,0.0,100.0,50.0,50.0,15.475188000000001,45.952481
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7,50.0,89.28571428571429,46.42857142857143,7.142857142857142,5.5190625,33.733808
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,7,50.0,71.42857142857143,46.42857142857143,3.571428571428571,9.605625,32.432295
RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2,25.0,87.5,37.5,25.0,6.1770455,31.882295
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30,39.166666666666664,90.83333333333333,37.5,8.333333333333332,7.4690625,27.586427
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6,16.666666666666664,66.66666666666666,33.33333333333333,16.666666666666664,13.4680925,26.153191
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13,25.0,88.46153846153845,30.76923076923077,13.461538461538462,10.305947,23.873251
RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25,48.0,86.0,34.0,1.0,7.691094,23.280891
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6,43.47826086956522,73.91304347826086,30.434782608695656,4.3478260869565215,8.832399,21.508064
RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,37.5,56.25,31.25,0.0,20.9255205,19.782448
RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14,41.07142857142857,76.78571428571429,28.57142857142857,0.0,7.452486,19.254751
RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,6,45.83333333333333,79.16666666666666,25.0,8.333333333333332,7.9730885,18.786024
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5,20.0,85.0,20.0,5.0,13.211168,13.928883
RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4,25.0,68.75,18.75,0.0,16.579827,11.467017
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8,18.75,84.375,15.625,6.25,18.7304335,10.626957
RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3,33.33333333333333,75.0,16.666666666666664,0.0,14.3739205,10.229275
RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2,12.5,100.0,12.5,0.0,12.025783,7.547422
