selector_source_family,selector_source_type,selector_pick_count,selector_pct_within_5,selector_median_abs_error,selector_recovered_within_5_pct,avg_selector_score,avg_primary_prior_w5,avg_performance_lookback_days
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent8_median,2.0,100.0,0.83375,0.0,17.905785,32.397794,1.0
ROLLING_LEVEL_RESIDUAL,original_base_level_expanded_mean,1.0,100.0,4.322784,100.0,30.242221,51.191911,1.0
ROLLING_LEVEL_RESIDUAL,original_base_level_original_mean,1.0,100.0,0.701737,0.0,53.906345,37.737325,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_recent8_median,1.0,100.0,4.72125,0.0,72.765708,67.520901,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent5_median,1.0,100.0,3.5825,0.0,40.607003,40.097538,1.0
ROLLING_SOURCE_LEVEL_RESIDUAL,original_base_source_expanded_median,1.0,100.0,3.80875,0.0,43.135768,44.058523,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent12_median,11.0,54.545455,4.145,9.090909,40.44117,41.158177,1.363636
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_mean,4.0,50.0,13.625137,50.0,35.919413,40.908026,1.0
ROLLING_LEVEL_RESIDUAL,original_base_level_expanded_median,4.0,50.0,20.521719,0.0,4.309072,33.396346,1.5
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_recent12_median,2.0,50.0,16.365417,0.0,37.31258,41.132594,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_recent12_median,2.0,50.0,4.8725,50.0,50.9649,44.577066,1.5
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q25,2.0,50.0,8.596458,0.0,38.490735,35.346236,2.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_mean,28.0,46.428571,7.370697,3.571429,44.2835,41.8219,1.357143
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_median,20.0,45.0,6.366985,5.0,48.775192,43.653325,1.7
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent8_median,10.0,40.0,12.06125,20.0,20.098598,36.807077,1.6
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q25,5.0,40.0,9.639688,0.0,43.174167,38.80821,1.4
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent8_median,5.0,40.0,14.180625,20.0,56.214474,51.285465,1.4
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent5_median,5.0,40.0,6.40625,0.0,39.352079,43.327618,1.8
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_median,13.0,38.461538,6.790625,0.0,33.110689,34.167351,1.153846
