level_date,rows,median_abs_distance,mean_abs_distance,max_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,dominant_anchor_family,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,full_anchor_sequence,full_family_sequence,full_side_sequence,focus_l4_l7_anchor_sequence,focus_l4_l7_family_sequence,focus_l4_l7_median_abs_distance,focus_l4_l7_pct_within_3,focus_l4_l7_pct_within_5,sequence_template_type,full_anchor_sequence_hash,full_family_sequence_hash,focus_l4_l7_anchor_sequence_hash,focus_l4_l7_family_sequence_hash,focus_family_template_key,focus_family_template_type,focus_family_template_score,focus_family_template_date_count
2025-10-01,10,1.7425,2.26,6.125,40.0,50.0,70.0,90.0,100.0,prior_hlc,1,2,5,2,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=green_box_midline::green_mid_1 | L7=red_box_quarter::red_box_2_25pct | L8=red_box_midline::red_mid_2 | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3,L1=green_box_edge | L2=green_box_quarter | L3=prior_hlc | L4=prior_range_fraction | L5=prior_hlc | L6=green_box_midline | L7=red_box_quarter | L8=red_box_midline | L9=red_box_edge | L10=red_box_midline,L1=green | L2=green | L3=neutral | L4=neutral | L5=neutral | L6=green | L7=red | L8=red | L9=red | L10=red,L4=prior_range_fraction::prev_range_0.75 | L5=prior_hlc::previous_pivot_hlc3 | L6=green_box_midline::green_mid_1 | L7=red_box_quarter::red_box_2_25pct,L4=prior_range_fraction | L5=prior_hlc | L6=green_box_midline | L7=red_box_quarter,0.58625,100.0,100.0,BOX_INTERNAL_TEMPLATE,5a29671a36,6648a2527c,6e7bde63c3,7a4edb9550,,,,
2025-10-02,10,1.796875,1.689418,2.72625,30.0,60.0,100.0,100.0,100.0,red_box_quarter,2,0,8,0,L1=green_box_quarter::green_box_2_75pct | L2=green_box_quarter::green_box_2_25pct | L3=prior_range_fraction::prev_range_0.75 | L4=prior_range_fraction::prev_range_0.333333 | L5=red_box_quarter::red_box_2_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct | L8=red_box_quarter::red_box_3_75pct | L9=red_box_quarter::red_box_4_25pct | L10=red_box_quarter::red_box_4_75pct,L1=green_box_quarter | L2=green_box_quarter | L3=prior_range_fraction | L4=prior_range_fraction | L5=red_box_quarter | L6=red_box_quarter | L7=red_box_quarter | L8=red_box_quarter | L9=red_box_quarter | L10=red_box_quarter,L1=green | L2=green | L3=neutral | L4=neutral | L5=red | L6=red | L7=red | L8=red | L9=red | L10=red,L4=prior_range_fraction::prev_range_0.333333 | L5=red_box_quarter::red_box_2_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct,L4=prior_range_fraction | L5=red_box_quarter | L6=red_box_quarter | L7=red_box_quarter,0.71375,100.0,100.0,BOX_INTERNAL_TEMPLATE,d7204b80d8,17362d2717,7cc2322871,bb6272e757,T_focus_l4_l7_family_bb6272e7,BOX_INTERNAL_TEMPLATE,76.837239,2.0
2025-10-03,10,2.280625,2.97,6.4325,10.0,30.0,70.0,70.0,100.0,green_box_quarter,1,1,5,3,L1=green_box_quarter::green_box_2_75pct | L2=prior_range_fraction::prev_range_0.875 | L3=green_box_edge::green_edge_1 | L4=prior_hlc::previous_close | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_25pct | L9=red_box_midline::red_mid_3 | L10=red_box_edge::red_edge_3,L1=green_box_quarter | L2=prior_range_fraction | L3=green_box_edge | L4=prior_hlc | L5=green_box_quarter | L6=red_box_midline | L7=red_box_edge | L8=red_box_quarter | L9=red_box_midline | L10=red_box_edge,L1=green | L2=neutral | L3=green | L4=neutral | L5=green | L6=red | L7=red | L8=red | L9=red | L10=red,L4=prior_hlc::previous_close | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,L4=prior_hlc | L5=green_box_quarter | L6=red_box_midline | L7=red_box_edge,2.23375,75.0,75.0,BOX_INTERNAL_TEMPLATE,bb9d7e02e0,dbcbc46482,09b9a4fa22,25b12c2f65,,,,
2025-10-06,7,0.556667,0.860952,2.77,71.428571,85.714286,100.0,100.0,100.0,green_box_quarter,1,2,3,1,L1=green_box_quarter::green_box_3_25pct | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_hlc::previous_pivot_hlc3 | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,L1=green_box_quarter | L2=green_box_quarter | L3=prior_hlc | L4=prior_hlc | L5=prior_range_fraction | L6=red_box_midline | L7=red_box_edge,L1=green | L2=green | L3=neutral | L4=neutral | L5=neutral | L6=red | L7=red,L4=prior_hlc::previous_pivot_hlc3 | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,L4=prior_hlc | L5=prior_range_fraction | L6=red_box_midline | L7=red_box_edge,1.102083,100.0,100.0,BOX_INTERNAL_TEMPLATE,304f546b7e,153cfe74f1,25dbc49608,07867496d3,,,,
2025-10-07,8,4.51,6.781719,28.18,25.0,25.0,37.5,50.0,87.5,green_box_quarter,2,1,3,2,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=green_box_midline::green_mid_2 | L4=prior_hlc::previous_close | L5=prior_range_fraction::prev_range_0.75 | L6=green_box_quarter::green_box_1_75pct | L7=red_box_edge::red_edge_4 | L8=prior_range_fraction::prev_range_0.125,L1=green_box_edge | L2=green_box_quarter | L3=green_box_midline | L4=prior_hlc | L5=prior_range_fraction | L6=green_box_quarter | L7=red_box_edge | L8=prior_range_fraction,L1=green | L2=green | L3=green | L4=neutral | L5=neutral | L6=green | L7=red | L8=neutral,L4=prior_hlc::previous_close | L5=prior_range_fraction::prev_range_0.75 | L6=green_box_quarter::green_box_1_75pct | L7=red_box_edge::red_edge_4,L4=prior_hlc | L5=prior_range_fraction | L6=green_box_quarter | L7=red_box_edge,2.75625,50.0,75.0,BOX_INTERNAL_TEMPLATE,6a44a0bb77,b8471cf1f8,8c16902fc8,9ac5ea11e7,,,,
2025-10-08,7,1.175,491.378214,3429.95,28.571429,71.428571,71.428571,85.714286,85.714286,green_box_quarter,1,0,3,3,L1=green_box_edge::green_edge_2 | L2=red_box_edge::red_edge_4 | L3=prior_range_fraction::prev_range_0.875 | L4=green_box_quarter::green_box_1_75pct | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,L1=green_box_edge | L2=red_box_edge | L3=prior_range_fraction | L4=green_box_quarter | L5=green_box_quarter | L6=red_box_midline | L7=red_box_edge,L1=green | L2=red | L3=neutral | L4=green | L5=green | L6=red | L7=red,L4=green_box_quarter::green_box_1_75pct | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,L4=green_box_quarter | L5=green_box_quarter | L6=red_box_midline | L7=red_box_edge,0.81125,100.0,100.0,BOX_INTERNAL_TEMPLATE,5da14b40de,4e770e2221,ba8b48bdef,d82fb88c68,T_focus_l4_l7_family_d82fb88c,BOX_INTERNAL_TEMPLATE,75.472768,2.0
2025-10-09,8,1.2225,1.130625,1.99,37.5,100.0,100.0,100.0,100.0,prior_hlc,2,2,3,1,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.75 | L5=red_box_quarter::red_box_1_75pct | L6=prior_range_fraction::prev_range_0.25 | L7=prior_hlc::previous_low | L8=red_box_quarter::red_box_2_75pct,L1=green_box_edge | L2=green_box_quarter | L3=prior_hlc | L4=prior_range_fraction | L5=red_box_quarter | L6=prior_range_fraction | L7=prior_hlc | L8=red_box_quarter,L1=green | L2=green | L3=neutral | L4=neutral | L5=red | L6=neutral | L7=neutral | L8=red,L4=prior_range_fraction::prev_range_0.75 | L5=red_box_quarter::red_box_1_75pct | L6=prior_range_fraction::prev_range_0.25 | L7=prior_hlc::previous_low,L4=prior_range_fraction | L5=red_box_quarter | L6=prior_range_fraction | L7=prior_hlc,1.12,100.0,100.0,BOX_INTERNAL_TEMPLATE,98051adcc6,d019eb5c16,3019b2f19e,d7da6c7d0e,,,,
2025-10-10,10,1.194375,2.332875,8.55125,50.0,60.0,70.0,90.0,100.0,green_box_quarter,0,1,7,2,L1=green_box_midline::green_mid_2 | L2=green_box_quarter::green_box_2_25pct | L3=green_box_edge::green_edge_1 | L4=green_box_quarter::green_box_1_75pct | L5=green_box_midline::green_mid_1 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low | L8=red_box_edge::red_edge_2 | L9=red_box_quarter::red_box_3_25pct | L10=red_box_quarter::red_box_3_75pct,L1=green_box_midline | L2=green_box_quarter | L3=green_box_edge | L4=green_box_quarter | L5=green_box_midline | L6=green_box_quarter | L7=prior_hlc | L8=red_box_edge | L9=red_box_quarter | L10=red_box_quarter,L1=green | L2=green | L3=green | L4=green | L5=green | L6=green | L7=neutral | L8=red | L9=red | L10=red,L4=green_box_quarter::green_box_1_75pct | L5=green_box_midline::green_mid_1 | L6=green_box_quarter::green_box_1_25pct | L7=prior_hlc::previous_low,L4=green_box_quarter | L5=green_box_midline | L6=green_box_quarter | L7=prior_hlc,0.77625,100.0,100.0,BOX_INTERNAL_TEMPLATE,56dbe4f156,5b30d95624,9b23747fac,15b0c69edd,,,,
2025-10-13,10,1.478125,2.127706,5.53,30.0,70.0,70.0,80.0,100.0,prior_range_fraction,2,1,5,2,L1=green_box_quarter::green_box_3_25pct | L2=green_box_edge::green_edge_2 | L3=green_box_midline::green_mid_2 | L4=red_box_quarter::red_box_1_25pct | L5=prior_hlc::previous_pivot_hlc3 | L6=prior_range_fraction::prev_range_0.382 | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_midline::red_mid_2 | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3,L1=green_box_quarter | L2=green_box_edge | L3=green_box_midline | L4=red_box_quarter | L5=prior_hlc | L6=prior_range_fraction | L7=prior_range_fraction | L8=red_box_midline | L9=red_box_edge | L10=red_box_midline,L1=green | L2=green | L3=green | L4=red | L5=neutral | L6=neutral | L7=neutral | L8=red | L9=red | L10=red,L4=red_box_quarter::red_box_1_25pct | L5=prior_hlc::previous_pivot_hlc3 | L6=prior_range_fraction::prev_range_0.382 | L7=prior_range_fraction::prev_range_0.125,L4=red_box_quarter | L5=prior_hlc | L6=prior_range_fraction | L7=prior_range_fraction,0.501865,100.0,100.0,BOX_INTERNAL_TEMPLATE,0022f6facf,afe33de2aa,51783ecccf,5e236ae7dc,,,,
2025-10-14,8,2.35625,3.194845,9.36375,12.5,50.0,50.0,75.0,100.0,green_box_quarter,1,0,6,1,L1=green_box_edge::green_edge_2 | L2=green_box_quarter::green_box_2_75pct | L3=green_box_quarter::green_box_2_75pct | L4=green_box_midline::green_mid_2 | L5=green_box_quarter::green_box_2_25pct | L6=red_box_midline::red_mid_1 | L7=red_box_quarter::red_box_1_75pct | L8=prior_range_fraction::prev_range_0.382,L1=green_box_edge | L2=green_box_quarter | L3=green_box_quarter | L4=green_box_midline | L5=green_box_quarter | L6=red_box_midline | L7=red_box_quarter | L8=prior_range_fraction,L1=green | L2=green | L3=green | L4=green | L5=green | L6=red | L7=red | L8=neutral,L4=green_box_midline::green_mid_2 | L5=green_box_quarter::green_box_2_25pct | L6=red_box_midline::red_mid_1 | L7=red_box_quarter::red_box_1_75pct,L4=green_box_midline | L5=green_box_quarter | L6=red_box_midline | L7=red_box_quarter,1.256875,75.0,100.0,BOX_INTERNAL_TEMPLATE,981a99c4d1,e172e76d42,65aae0fb60,b0cac1ea11,,,,
