template_scope,template_key,template_signature,template_type,date_count,total_level_rows,first_date,last_date,median_day_median_abs_distance,mean_day_median_abs_distance,avg_pct_within_3,avg_pct_within_5,avg_pct_within_10,sequence_template_score,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,example_dates
focus_l4_l7_anchor_exact,T_focus_l4_l7_anchor_exact_6381f5b5,L4=green_box_quarter::green_box_1_75pct | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_midline::red_mid_2 | L7=red_box_quarter::red_box_2_75pct,BOX_INTERNAL_TEMPLATE,2,16,2025-12-15,2025-12-16,1.0975,1.0975,87.5,100.0,100.0,83.40625,4,0,10,2,2025-12-15; 2025-12-16
focus_l4_l7_family,T_focus_l4_l7_family_0c7c5c55,L4=green_box_quarter | L5=prior_range_fraction | L6=red_box_midline | L7=red_box_quarter,BOX_INTERNAL_TEMPLATE,2,16,2025-12-15,2025-12-16,1.0975,1.0975,87.5,100.0,100.0,83.40625,4,0,10,2,2025-12-15; 2025-12-16
focus_l4_l7_family,T_focus_l4_l7_family_cfc6cc7e,L4=prior_range_fraction | L5=prior_hlc | L6=prior_hlc | L7=red_box_edge,BOX_INTERNAL_TEMPLATE,2,19,2026-03-13,2026-05-18,1.379063,1.379063,83.333334,94.444445,100.0,79.674566,3,5,9,2,2026-03-13; 2026-05-18
focus_l4_l7_family,T_focus_l4_l7_family_5ca12015,L4=prior_range_fraction | L5=red_box_edge | L6=red_box_midline | L7=red_box_edge,BOX_INTERNAL_TEMPLATE,2,18,2025-12-05,2026-01-27,1.525625,1.525625,77.5,95.0,100.0,76.985938,3,0,10,5,2025-12-05; 2026-01-27
focus_l4_l7_family,T_focus_l4_l7_family_bb6272e7,L4=prior_range_fraction | L5=red_box_quarter | L6=red_box_quarter | L7=red_box_quarter,BOX_INTERNAL_TEMPLATE,2,19,2025-10-02,2026-06-10,2.091771,2.091771,77.777778,100.0,100.0,76.837239,5,1,13,0,2025-10-02; 2026-06-10
focus_l4_l7_anchor_exact,T_focus_l4_l7_anchor_exact_ba8b48bd,L4=green_box_quarter::green_box_1_75pct | L5=green_box_quarter::green_box_1_25pct | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2,BOX_INTERNAL_TEMPLATE,2,15,2025-10-08,2025-12-11,1.21375,1.21375,73.214286,92.857143,92.857143,75.472768,2,0,8,5,2025-10-08; 2025-12-11
focus_l4_l7_family,T_focus_l4_l7_family_d82fb88c,L4=green_box_quarter | L5=green_box_quarter | L6=red_box_midline | L7=red_box_edge,BOX_INTERNAL_TEMPLATE,2,15,2025-10-08,2025-12-11,1.21375,1.21375,73.214286,92.857143,92.857143,75.472768,2,0,8,5,2025-10-08; 2025-12-11
focus_l4_l7_anchor_exact,T_focus_l4_l7_anchor_exact_10f7130a,L4=green_box_midline::green_mid_2 | L5=green_box_edge::green_edge_1 | L6=prior_range_fraction::prev_range_0.25 | L7=red_box_quarter::red_box_2_75pct,BOX_INTERNAL_TEMPLATE,2,19,2025-11-04,2026-04-08,1.63125,1.63125,68.888889,94.444445,100.0,72.977431,2,0,11,6,2025-11-04; 2026-04-08
focus_l4_l7_family,T_focus_l4_l7_family_d483f861,L4=green_box_midline | L5=green_box_edge | L6=prior_range_fraction | L7=red_box_quarter,BOX_INTERNAL_TEMPLATE,2,19,2025-11-04,2026-04-08,1.63125,1.63125,68.888889,94.444445,100.0,72.977431,2,0,11,6,2025-11-04; 2026-04-08
focus_l4_l7_family,T_focus_l4_l7_family_8e5a6478,L4=prior_range_fraction | L5=green_box_quarter | L6=red_box_quarter | L7=red_box_quarter,BOX_INTERNAL_TEMPLATE,2,16,2025-11-05,2026-03-06,2.415,2.415,62.5,93.75,100.0,68.175,3,1,11,1,2025-11-05; 2026-03-06
