level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,prev_candle_direction,prev_close_position_pct,prediction_available_levels,missing_prediction_levels,state_top1_pct_within_3,state_top1_pct_within_5,state_top3_pct_within_3,state_top3_pct_within_5,state_best_median_abs_error,state_best_mean_abs_error,state_best_pct_within_3,state_best_pct_within_5,state_top1_median_abs_error,state_cluster_band_median_width,state_ordered_ladder_valid,state_ordered_ladder_median_abs_error,state_ordered_ladder_pct_within_3,state_ordered_ladder_pct_within_5
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,UP,0.290944,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,DOWN,0.477017,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,UP,0.902257,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,UP,0.894479,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,UP,0.865897,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,UP,0.765435,4,0,25.0,25.0,25.0,25.0,21.2975,45.75125,25.0,25.0,21.2975,0.0,True,21.2975,25.0,25.0
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,DOWN,0.275033,4,0,25.0,25.0,25.0,25.0,11.88875,12.181875,25.0,25.0,17.578125,0.0,True,17.578125,25.0,25.0
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,UP,0.86296,4,0,75.0,75.0,75.0,75.0,0.868125,2.193021,75.0,75.0,0.868125,0.0,True,0.868125,75.0,75.0
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,UP,0.945403,4,0,0.0,0.0,0.0,0.0,16.233125,18.28125,25.0,25.0,29.425,0.0,True,29.425,0.0,0.0
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,UP,0.578947,4,0,0.0,0.0,0.0,0.0,29.44125,27.853125,0.0,0.0,29.44125,0.0,True,29.44125,0.0,0.0
2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,UP,0.868326,4,0,25.0,50.0,50.0,50.0,5.49618,6.00559,50.0,50.0,5.71243,0.3175,True,5.71243,25.0,50.0
2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,UP,0.964338,4,0,0.0,0.0,0.0,0.0,12.755625,11.998125,0.0,0.0,12.755625,0.0,True,12.755625,0.0,0.0
2025-10-20,2025-10-17,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,DOWN,0.343438,4,0,0.0,0.0,0.0,0.0,77.105312,71.916094,0.0,0.0,90.019063,0.0,True,90.019063,0.0,0.0
2025-10-21,2025-10-20,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,UP,0.845476,4,0,0.0,25.0,0.0,25.0,35.17,33.04,0.0,25.0,35.17,0.0,True,35.17,0.0,25.0
2025-10-22,2025-10-21,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,DOWN,0.145046,4,0,0.0,0.0,0.0,0.0,51.3375,51.281562,0.0,0.0,56.525625,0.0,True,56.525625,0.0,0.0
2025-10-23,2025-10-22,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,DOWN,0.598353,4,0,0.0,0.0,0.0,0.0,83.695651,81.624075,0.0,0.0,83.695651,0.0,True,83.695651,0.0,0.0
2025-10-24,2025-10-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,UP,0.675505,4,0,0.0,0.0,25.0,25.0,18.74625,17.776042,25.0,25.0,25.899375,0.851875,True,25.899375,0.0,0.0
2025-10-27,2025-10-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,DOWN,0.677761,4,0,0.0,0.0,25.0,50.0,5.90875,5.536562,25.0,50.0,25.965834,0.0,True,25.965834,0.0,0.0
2025-10-28,2025-10-27,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,DOWN,0.069021,4,0,0.0,0.0,25.0,25.0,4.34962,6.02356,25.0,50.0,52.69,0.0,True,52.69,0.0,0.0
