cluster_mid,cluster_min,cluster_max,cluster_width,cluster_role,level_state,side_of_latest_price,price_context_label,member_count,h4_count,d1_count,source_combos,member_detail,carry_tag,carry_strength,carry_match_distance,role_base_score,carry_bonus,final_priority_score,final_priority_label,forecast_date,freeze_id,state_range_ratio,state_quality_gate,experimental_quality_score,quality_bucket,map_confidence_label,map_confidence_warning
4454.122195,4454.122195,4454.122195,0.0,D1_container,medium_interest,below_price,lower_reference,1,0,1,D1_LB5,D1:D1_LB5@4454.122,False,none,,2.0,0.0,2.0,★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4518.802957,4518.802957,4518.802957,0.0,D1_container,medium_interest,below_price,lower_reference,1,0,1,D1_LB5,D1:D1_LB5@4518.803,False,none,,2.0,0.0,2.0,★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4583.48372,4583.48372,4583.48372,0.0,D1_container,medium_interest,below_price,nearest_support_reference,1,0,1,D1_LB5,D1:D1_LB5@4583.484,False,none,,2.0,0.0,2.0,★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4648.164483,4648.164483,4648.164483,0.0,D1_container,medium_interest,above_price,nearest_resistance_reference,1,0,1,D1_LB5,D1:D1_LB5@4648.164,False,none,,2.0,0.0,2.0,★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4664.932308,4664.932308,4664.932308,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4664.932,False,none,,3.0,0.0,3.0,★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4710.691023,4708.536801,4712.845245,4.308444,H4_D1_confluence,primary_confluence_or_active_container,above_price,upper_reference,2,1,1,"D1_LB5,H4_LB5",H4:H4_LB5@4708.537 | D1:D1_LB5@4712.845,False,none,,4.0,0.0,4.0,★★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4752.141293,4752.141293,4752.141293,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4752.141,False,none,,3.0,0.0,3.0,★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4777.526008,4777.526008,4777.526008,0.0,D1_container,medium_interest,above_price,upper_reference,1,0,1,D1_LB5,D1:D1_LB5@4777.526,False,none,,2.0,0.0,2.0,★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4795.745785,4795.745785,4795.745785,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4795.746,False,none,,3.0,0.0,3.0,★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4840.778524,4839.350277,4842.206771,2.856494,H4_D1_confluence,primary_confluence_or_active_container,above_price,upper_reference,2,1,1,"D1_LB5,H4_LB5",H4:H4_LB5@4839.350 | D1:D1_LB5@4842.207,False,none,,4.0,0.0,4.0,★★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4882.954769,4882.954769,4882.954769,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4882.955,False,none,,3.0,0.0,3.0,★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
4926.559261,4926.559261,4926.559261,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4926.559,False,none,,3.0,0.0,3.0,★★★,2026-08-24,TLF_20260824_96735320c2f2,1.3968307866440364,neutral_d1_active,4.0,low_quality_structure,Low,D1 active state is neither strongly confirmed nor clearly weak (range ratio 1.397). Treat confidence as moderate until expansion confirms.
