cluster_mid,cluster_min,cluster_max,cluster_width,cluster_role,level_state,side_of_latest_price,price_context_label,member_count,h4_count,d1_count,source_combos,member_detail,forecast_date,final_priority_score,provider_live_tag,provider_live_grade,provider_live_quality_score,provider_live_confirmation_label,provider_zone_confirmation_class,provider_zone_display_label,provider_zone_warning,provider_live_event_type,provider_live_signal_type,provider_live_state_bucket,provider_live_level,provider_live_nearest_published_level,provider_live_nearest_frozen_level,provider_level_distance_to_zone,provider_frozen_match_distance_to_zone,provider_published_match_distance_to_zone,provider_best_match_distance_to_zone,provider_live_datetime,provider_live_message_excerpt,provider_live_h1_favourable_reaction,provider_live_bonus,provider_adjusted_priority_score,provider_adjusted_priority_label
4454.122195,4454.122195,4454.122195,0.0,D1_container,medium_interest,below_price,lower_reference,1,0,1,D1_LB5,D1:D1_LB5@4454.122,,2.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,2.0,★★
4518.802957,4518.802957,4518.802957,0.0,D1_container,medium_interest,below_price,lower_reference,1,0,1,D1_LB5,D1:D1_LB5@4518.803,,2.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,2.0,★★
4583.48372,4583.48372,4583.48372,0.0,D1_container,medium_interest,below_price,nearest_support_reference,1,0,1,D1_LB5,D1:D1_LB5@4583.484,,2.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,2.0,★★
4648.164483,4648.164483,4648.164483,0.0,D1_container,medium_interest,above_price,nearest_resistance_reference,1,0,1,D1_LB5,D1:D1_LB5@4648.164,,2.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,2.0,★★
4664.932308,4664.932308,4664.932308,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4664.932,,3.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,3.0,★★★
4710.691023,4708.536801,4712.845245,4.308444,H4_D1_confluence,primary_confluence_or_active_container,above_price,upper_reference,2,1,1,"D1_LB5,H4_LB5",H4:H4_LB5@4708.537 | D1:D1_LB5@4712.845,,4.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,4.0,★★★★
4752.141293,4752.141293,4752.141293,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4752.141,,3.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,3.0,★★★
4777.526008,4777.526008,4777.526008,0.0,D1_container,medium_interest,above_price,upper_reference,1,0,1,D1_LB5,D1:D1_LB5@4777.526,,2.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,2.0,★★
4795.745785,4795.745785,4795.745785,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4795.746,,3.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,3.0,★★★
4840.778524,4839.350277,4842.206771,2.856494,H4_D1_confluence,primary_confluence_or_active_container,above_price,upper_reference,2,1,1,"D1_LB5,H4_LB5",H4:H4_LB5@4839.350 | D1:D1_LB5@4842.207,,4.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,4.0,★★★★
4882.954769,4882.954769,4882.954769,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4882.955,,3.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,3.0,★★★
4926.559261,4926.559261,4926.559261,0.0,H4_local,medium_interest,above_price,upper_reference,1,1,0,H4_LB5,H4:H4_LB5@4926.559,,3.0,False,,,No provider confirmation,no_provider_confirmation,No provider confirmation,No recent qualifying provider-state event matched this zone.,,,,,,,,,,,,,,0.0,3.0,★★★
