member_rank,zone_price,zone_price_display,priority_bucket,priority_score,category,member_action,confidence_note,carry_level,carry_level_display,carry_rung,carry_band_type,structural_level,structural_level_display,structural_role,distance_display,overlap_bucket,zone_label
1,4026.435064999999,4026.44,A,6,Carry + H4/D1 confluence,High-interest structural reaction zone around 4026.44. Wait for live confirmation; do not pre-empt.,Hard overlap,4026.579999999998,4026.58,-4.0,outer,4026.29013,4026.29,H4_D1_confluence,0.29,hard_overlap_<=5,highest_priority_carry_plus_h4_d1
2,4177.337146,4177.34,A,5,Carry + D1 container,Important container level around 4177.34. Expansion/continuation depends on acceptance beyond it.,Hard overlap,4176.73,4176.73,1.0,inner,4177.944292,4177.94,D1_container,1.21,hard_overlap_<=5,medium_priority_carry_plus_d1_container
3,4113.967816999999,4113.97,A,5,Carry + H4 local,"High-interest local reaction zone around 4113.97. Watch for rejection, acceptance, or reclaim.",Good overlap,4116.669999999998,4116.67,-1.0,inner,4111.265634,4111.27,H4_local,5.40,good_overlap_<=10,high_priority_carry_plus_h4_local
4,4079.7260285,4079.73,A,5,Carry near H4/D1 confluence,High-interest structural reaction zone around 4079.73. Wait for live confirmation; do not pre-empt.,Soft overlap,4086.64,4086.64,-2.0,inner,4072.812057,4072.81,H4_D1_confluence,13.83,soft_overlap_<=15,carry_structural_soft_or_distant
5,4232.6381255,4232.64,B,3,Carry + D1 container,Secondary watch zone around 4232.64. Useful as context or extension target.,Good overlap,4236.789999999999,4236.79,3.0,outer,4228.486251,4228.49,D1_container,8.30,good_overlap_<=10,medium_priority_carry_plus_d1_container
6,3979.768204,3979.77,B,3,H4/D1 confluence only,Secondary watch zone around 3979.77. Useful as context or extension target.,Structural Only No Carry Within 15,,,,,3979.768204,3979.77,H4_D1_confluence,46.81,structural_only_no_carry_within_15,structural_h4_d1_only
7,4272.9241055,4272.92,C,2,Carry near D1 container,Reference zone around 4272.92. Lower confidence unless live behaviour confirms.,Soft overlap,4266.82,4266.82,4.0,outer,4279.028211,4279.03,D1_container,12.21,soft_overlap_<=15,carry_structural_soft_or_distant
8,4206.759999999999,4206.76,C,2,Carry only,Reference zone around 4206.76. Lower confidence unless live behaviour confirms.,No carry/structure overlap,4206.759999999999,4206.76,2.0,inner,,,,21.73,no_overlap,carry_only
9,4146.699999999999,4146.70,C,2,Carry only,Reference zone around 4146.70. Lower confidence unless live behaviour confirms.,No carry/structure overlap,4146.699999999999,4146.70,0.0,inner,,,,19.30,no_overlap,carry_only
10,3941.258062,3941.26,C,2,H4 local only,Reference zone around 3941.26. Lower confidence unless live behaviour confirms.,Structural Only No Carry Within 15,,,,,3941.258062,3941.26,H4_local,85.32,structural_only_no_carry_within_15,structural_h4_local_only
11,3898.756169,3898.76,C,2,H4 local only,Reference zone around 3898.76. Lower confidence unless live behaviour confirms.,Structural Only No Carry Within 15,,,,,3898.756169,3898.76,H4_local,127.82,structural_only_no_carry_within_15,structural_h4_local_only
12,3856.254276,3856.25,C,2,H4 local only,Reference zone around 3856.25. Lower confidence unless live behaviour confirms.,Structural Only No Carry Within 15,,,,,3856.254276,3856.25,H4_local,170.33,structural_only_no_carry_within_15,structural_h4_local_only
13,4056.6099999999983,4056.61,C,1,Carry only,Reference zone around 4056.61. Lower confidence unless live behaviour confirms.,No carry/structure overlap,4056.6099999999983,4056.61,-3.0,outer,,,,16.20,no_overlap,carry_only
